,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Robert's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bite by Bite: Nourishments and Jamborees,"Nezhukumatathil, Aimee*",0063282267,9780063282261,0063282267,224        pp,4.64,39,"May 07, 2024","Apr 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Hardcover,view,/book/show/195853505-bite-by-bite
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kindred,"Butler, Octavia E.",0807008095,9780807008096,0807008095,320        pp,4.30,"217,756",Jun 1979,"May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Paperback,view,/book/show/198139899-kindred
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cave 13        (Rogue Team International #3),"Maberry, Jonathan*",1250619327,9781250619327,1250619327,528        pp,4.34,859,unknown,"Aug 29, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 22, 2023",,Paperback,view,/book/show/61885032-cave-13
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"World of Wonders: In Praise of Fireflies, Whale Sharks, and Other Astonishments","Nezhukumatathil, Aimee*",1571313656,9781571313652,1571313656,165        pp,4.07,"19,287","Sep 08, 2020","Aug 03, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2023",,Hardcover,view,/book/show/48615751-world-of-wonders
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dark Factory,"Koja, Kathe*",194615475X,9781946154750,194615475X,300        pp,3.37,81,"May 10, 2022","May 10, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 13, 2022",,Paperback,view,/book/show/60586272-dark-factory
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hearers of the Constant Hum,"Pauley III, William*",,,B09DBWZV1T,268        pp,3.79,239,"Nov 01, 2014","Sep 11, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 08, 2021",,Kindle Edition,view,/book/show/59457046-hearers-of-the-constant-hum
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Empty Man: Recurrence,"Bunn, Cullen*",1684153565,9781684153565,1684153565,112        pp,3.23,185,"Jul 23, 2019","Jul 23, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 31, 2021",,Paperback,view,/book/show/42201531-the-empty-man
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fallen,"Grasso, Antonio",,,B0062WFNT8,108        pp,3.00,5,"Nov 03, 2011","Nov 03, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 18, 2021",not set,"Jun 18, 2021",,ebook,view,/book/show/13483638-fallen
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Quarantine        (Burn the Dead, #1)","Jenkins, Steven*",,,B0131PQZWC,221        pp,3.71,"1,056","May 29, 2014","Jul 29, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 18, 2021","Jun 18, 2021","Jun 18, 2021",,Kindle Edition,view,/book/show/26021139-quarantine
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Halloween Frights,"Hollar, Lisa McCourt*",,,B005PA94U2,56        pp,2.50,4,"Sep 23, 2011",unknown,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 18, 2021","Jun 18, 2021","Jun 18, 2021",,Kindle Edition,view,/book/show/13023668-halloween-frights
