,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Jeanne's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Shapeless Unease: A Year of Not Sleeping,"Harvey, Samantha",,,B07YXCBDG7,194        pp,3.59,"1,250","Jan 09, 2020","May 12, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Sometime in 2016, Samantha Harvey stopped sleeping. Her insomnia started when, in a short period of time, her sister and partner had separated; her coSometime in 2016, Samantha Harvey stopped sleeping. Her insomnia started when, in a short period of time, her sister and partner had separated; her cousin died unexpectedly, only being found two days later; her father fell from a ladder and would be unable to walk for a year; and her father’s partner was diagnosed with dementia. In that context, some insomnia is not surprising. Harvey did not have some insomnia; she was enveloped in a tsunami of existential anxiety.Harvey documents her insomnia in obsessive (and overwhelming) detail: in dreams, flash fiction, and streams of consciousness. She asks for help repeatedly, but nowIn the eyes of the doctor, I am just neurotic and self-obsessed. The more I do to be listened to as a human being, the more I strengthen my role as neurotic and self-obsessed. The less she listens to me the more I tell or show her that I’m suffering. The more I tell or show her I’m suffering the more she thinks I am neurotic and self-obsessed. Each time, my role is reinforced and my role overrides my humanity. (p. 119). Presumably, her friends and family (and readers) respond similarly: with advice, with “just do,” “all you have to do,” and “only.” The cure is simple from the outside, but not from the inside, as Harvey turns to psychotherapy, antidepressants, sleeping pills, swimming, late night puzzles, and nutrition assessments.And, then, everything changes. What made the difference? It’s entirely unclear to Harvey and to us: things change.This is the cure for insomnia: no things are fixed. Everything passes, this too. One day, when you’re done with it, it will lose its footing and fall away, and you’ll drop each night into sleep without knowing how you once found it impossible. (p. 175)I appreciated The Shapeless Unease – and was glad that it was a short book, barely more than a novella. Our own unfiltered anxiety is often more than enough, no matter how much we experience....more",Notes are private!,2,3,1,"Apr 08, 2024","Apr 08, 2024","Apr 08, 2024",,Kindle Edition,view (with text),/book/show/49000194-the-shapeless-unease
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Morningside,"Obreht, Téa*",1984855506,9781984855503,1984855506,304        pp,3.74,647,"Mar 19, 2024","Mar 19, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Being a child can feel magical and mysterious, as adult secrets are rarely shared, either whispered or assumed to be known and understood. This is truBeing a child can feel magical and mysterious, as adult secrets are rarely shared, either whispered or assumed to be known and understood. This is true in a calm, predictable world, and perhaps even truer in an unpredictable one peopled by secrets.Téa Obreht’s The Morningside centers a family of climate refugees in the near future, a world of tight rationing, climate disasters, genocide, mistrust, bland euphemisms, and dirty politics that skims funding for refugees and redirects it to the rich. Silvia (Sil) is 12, attempting to protect her mother from pending disaster, without the skills or resources to do so. She plants protections around her apartment building – a jar of jam, a perfume bottle, an old pair of scissors – and touches them physically or with her mind (“one, two, three”). When left alone, who can Sil trust? The gentle man who gave her hazelnut crème sandwiches? The witch in the penthouse? The people on the street? The janglers who send her to buy meat? (Meat? When eating it is against the law?!!!) The old, almost bald woman who offered to share her family’s dinner?Everything he’d said thus far had been some form of true. Would that have been enough for a grown-up? Or would a grown-up have denied him the letters on the simple, irrefutable grounds that they did not bear his name? (p. 90)While Obreht identifies more than enough reasons for Sil – and us – to be anxious, she does not succumb to easy mood manipulators. Sil worries but she and her friends and family also solve problems, identifiy good support systems, and find ways to live in an unpredictable world. ...more",Notes are private!,0,3,1,not set,"Apr 07, 2024","Apr 07, 2024",,Hardcover,view (with text),/book/show/179546766-the-morningside
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Women,"Hannah, Kristin*",,,B0C43C6QVT,480        pp,4.69,"225,332","Feb 06, 2024","Feb 15, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I am not a Kristin Hannah fan, as her use of emotional tone is rarely nuanced. I feel emotionally manipulated and jerked around by her writing. I don'I am not a Kristin Hannah fan, as her use of emotional tone is rarely nuanced. I feel emotionally manipulated and jerked around by her writing. I don't like being in an abusive relationship with anyone, especially an author.Hannah's newest novel, The Women, is about the unacknowledged women who served in Vietnam, especially the nurses. Unfortunately, even the best friends of the main character are generally seen only from the curtains, leading me to want to retitle this as The Woman. If a broader range of women showed close up, Hannah wouldn't need to pile the trauma on a single character, in unbelievable superhero fashion.And, yet, war is not nuanced and thoughtful, nor is posttraumatic stress disorder, as its central character is diagnosed with (she clearly qualifies for at least two other diagnoses). PTSD's highs and lows are not nuanced, but painted in stark colors and broad strokes. People with it, like Frankie, often make decisions that seem intended to be helpful, yet create further problems.The Women is highly readable and even addictive, although not good bedtime reading (unless your goal is to stay awake).Read with my mother's book club....more",Notes are private!,0,1,1,Apr 2024,"Apr 04, 2024","Apr 01, 2024",,Kindle Edition,view (with text),/book/show/146515957-the-women
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Girl I Am, Was, and Never Will Be: A Speculative Memoir of Transracial Adoption","Gibney, Shannon",0593112008,9780593112007,B09Y2RYK63,256        pp,3.95,452,"Jan 10, 2023","Jan 10, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The Girl I Am, Was, and Never Will Be is two or more intertwined stories: Shannon Gibney's story of growing up as a biracial adoptee, adopted by a whiThe Girl I Am, Was, and Never Will Be is two or more intertwined stories: Shannon Gibney's story of growing up as a biracial adoptee, adopted by a white family, and her speculations about who she might have been if she had grown up as Erin Powers, raised by her white, neurotic, lesbian birthmother. Erin's speculations feel, here, as real as Shannon's story.In Shannon and Erin's shared search for a more complete picture of their origins and who they are, their stories are occasionally connected by a mysterious portal. The portal feels like an awkward narrative device to me, even though I like some kinds of science fiction. Perhaps I don't like my ""peas"" (memoir) and ""carrots"" (sci fi) to touch on my plate.Gibney documents her/their story with reproductions of her own adoption documents, letters and cards from her birthmother, family photographs, interviews, medical records from her cancer diagnosis, and brief essays on the absurdities of the adoptee experience – and supplements this with still other stories of ""the girl who is not me, who might have been me, who is me"" (p. 135). The end result is fascinating, something that those of us who are white parents of biracial adoptees or friends of transracial adoptees should consider reading, contemplating, and discussing. Certainly, two pieces that come up repeatedly, especially but not only in her birthfamily, are the random and uninformed racism and other microaggressions that she experienced, and the patriarchal and colonial attitudes that society has about white adoptive parents and their brown, black, or yellow adoptive children.In sum, The Girl I Am, Was, and Never Will Be was occasionally frustrating, but it was also eye-opening, a worldview rarely discussed outside of the therapy room....more",Notes are private!,0,3,1,"Mar 30, 2024","Mar 31, 2024","Mar 30, 2024",,Kindle Edition,view (with text),/book/show/62604012-the-girl-i-am-was-and-never-will-be
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dragon's Treasure,"Lynn, Elizabeth A.",,,B00J90CCKS,316        pp,3.63,285,2003,"Apr 01, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I have recently read two of Elizabeth Lynn's books after a long hiatus from her fiction. Both of these have stood the test of time. In Dragon's WinI have recently read two of Elizabeth Lynn's books after a long hiatus from her fiction. Both of these have stood the test of time. In Dragon's Winter, Dragon is caught between good and evil, and must make a number of difficult choices. It is a conflict between two superpowers, which could move the land into an ice age. Dragon's Treasure, on the other hand, is a somewhat quieter book. Karadur continues to struggle with impulsive outbursts of anger, but he also practices forgiveness (of self and others) and builds his chosen family.Dragon's Treasure feels like the second in a longer series, although it is Lynn's last novel. Her secondary characters – Shem, Hawk, One-arm, Azil, Maia and her child, and others – seem to have been set out on Karadur's keph board, to put into play in future books in the series. I imagine a Shem grown into his abilities; a wise Hawk, guiding the less experienced around her; Maia's child, also Dragon. Unfortunately (for me), Lynn struggled with writer's block, writing sporadically in later years. As far as I can tell, she only published a single short story since this last book. As she is only 77 or 78 at this point, one can hope.A 1997 interview with Lynn: https://www.locusmag.com/1997/Issues/......more",Notes are private!,0,2,1,not set,"Mar 30, 2024","Mar 30, 2024",,Kindle Edition,view (with text),/book/show/23872258-dragon-s-treasure
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dragon's Winter,"Lynn, Elizabeth A.",,,B00J3EU388,358        pp,3.51,738,1997,"Apr 01, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Forty or more years ago I devoured two of Elizabeth Lynn's books and looked for others. I didn't find them, although I suspected she had written otherForty or more years ago I devoured two of Elizabeth Lynn's books and looked for others. I didn't find them, although I suspected she had written others. In the time since, I have looked for her books. No joy – until this month. I have read books that I enjoyed in high school and college, sometimes continuing to enjoy them and sometimes not connecting with them; however, I have been taken anew by Dragon's Winter – and the second in the duology, Dragon's Treasure.Dragon's Winter is, in part, a story of good and evil, Reading the book's blurb, I had assumed that Dragon was evil and his twin, not. Telling you that I was grossly mistaken is not a spoiler, as Lynn's views of good and evil are less glib than we usually expect. Good and evil are not a dichotomy, power is not necessarily corrupting, love does not heal all wounds, and what we see is not necessarily real. People may feel attacked, although others may not attack.""Do not lose yourself in Dragon’s country! For it is perilous for humans to know and love the dragon-kind” (p. 73). In other words, Lynn does not paint in bright primary colors – in fact, Dragon's Winter's colors are layered and the book is quite dark.But it is also magical, comforting, and satisfying. ...more",Notes are private!,0,3,1,"Mar 18, 2024","Mar 26, 2024","Mar 26, 2024",,Kindle Edition,view (with text),/book/show/39846955-dragon-s-winter
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Homecoming,"Morton, Kate*",,,B0B71P2M77,560        pp,4.08,"69,111","Apr 04, 2023","Apr 04, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Some books start well and end poorly. Homecoming felt pat and boring at the beginning – I expected to DNF – but it interested me more as we went on. HSome books start well and end poorly. Homecoming felt pat and boring at the beginning – I expected to DNF – but it interested me more as we went on. Homecomingis not a great novel, but its twists and turns make it interesting, even when some of these twists are unsurprising – and others are introduced without any foreshadowing. Characters often grossly misunderstand each other, which feels true, although discouraging that it would be. Homecoming loses its veracity by being as much or more about twists than the story, even though its descriptions of many of its characters, even minor ones, are interesting and feel three-dimensional.This was a selection of my mom's new book club....more",Notes are private!,3,12,1,"Mar 17, 2024","Mar 20, 2024","Mar 17, 2024",,Kindle Edition,view (with text),/book/show/61650237-homecoming
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Erasure,"Everett, Percival",,,B005VD8MC4,280        pp,4.20,"11,341",2001,"Oct 25, 2011",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"“I have dark brown skin, curly hair, a broad nose, some of my ancestors were slaves and I have been detained by pasty white policemen in New Hampshire“I have dark brown skin, curly hair, a broad nose, some of my ancestors were slaves and I have been detained by pasty white policemen in New Hampshire, Arizona and Georgia and so the society in which I live tells me I am black; that is my race.”Monk (actually, Thelonious ""Monk"" Ellison) cannot get his novels published. He writes thoughtful, literary fiction with themes from Greek myths. His books aren't ""Black enough."" He is simultaneously aware of his race and yet that fact does not touch his life on a daily basis. The hard, gritty truth of the matter is that I hardly ever think about race. Those times when I did think about it a lot I did so because of my guilt for not thinking about it. I don’t believe in race. I believe there are people who will shoot me or hang me or cheat me and try to stop me because they do believe in race, because of my brown skin, curly hair, wide nose and slave ancestors. But that’s just the way it is.Out of frustration, Monk wrote a book jam-packed with racial stereotypes – eventually titled F*** (without the asterisks) – and sent it to his agent, who sent it to publishers, who surprised both agent and author with an enthusiastic acceptance and a huge advance.""I was a victim of racism by virtue of my failing to acknowledge racial difference and by failing to have my art be defined as an exercise in racial self-expression. So, I would not be economically oppressed because of writing a book that fell in line with the very books I deemed racist. And I would have to wear the mask of the person I was expected to be.Erasure is, of course, about having a nonconforming racial identity erased, but his family are also erased in different ways: dementia, murder, homophobia; yet, em>Erasure is also about coming to find identity, moral courage, and authenticity in unexpected places (or not).Erasure is a montage of superficially-unrelated pieces: Monk's own story, F***, descriptions of trout fishing and wood working, and dialogues between pairs of artists. I hated F***, which would have pleased Monk, but the rest was lively and thought-provoking. For a largely friendless man, I enjoyed spending time with him.I listened to Erasure while traveling and, although I liked the narrator's work, the book is complicated enough structurally that I found myself wishing that I was reading it rather than listening – and certainly wished I was listening while walking around town or cooking, not while speeding down the highway.Not that I ever speed....more",Notes are private!,2,6,1,"Mar 17, 2024","Mar 19, 2024","Mar 17, 2024",,Kindle Edition,view (with text),/book/show/19492105-erasure
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Menewood        (The Light of the World Trilogy #2),"Griffith, Nicola*",,,B09Y457GQ5,752        pp,4.51,676,"Oct 03, 2023","Oct 03, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"In Hild, the first book in what is now a duology and likely more in the future, Hild was a godmouth. She saw patterns, guided kings, and predicted theIn Hild, the first book in what is now a duology and likely more in the future, Hild was a godmouth. She saw patterns, guided kings, and predicted the future. In Menewood, Nicola Griffith's much anticipated follow-up, Hild is now grown (19 at book's end). She rejects the restricting label she had been given and now says, ""I’m not a seer, I watch. I name the patterns that anyone could see, if they also watched.” (p. 525). Nonetheless, an amazing woman. An amazing person.All who left Menewood—or Urburg when she was there—took with them stories of the uncanny wit of the lady who could look at a man and greet him by asking, What news from the mines of Craven? before he even opened his mouth. And she was surrounded always by Fiercesomes, killers who would slaughter a person at a look, and women with tongues sharper and faster than the best sword, women whom everyone obeyed, sometimes even the lady. (p. 715)During early seventh century Britain, where Menewood is set, Cadwallon and his men were rampaging across the isle, wantonly slaughtering its people, burning its buildings, killing its livestock and allowing their carcasses to rot, and stealing their gold. He did these things because he could. He did because they struck terror across the land.Cadwallon had almost devastated Britain's kingdoms when Hild determined to stop Cadwallon. Some readers might find Menewood slow or bloated. I found it fascinating. Nicola Griffith described Hild's ways of thinking and seeing – part careful observation and part free association – and her careful build of a strategy of war: seeing the strengths of the women and men who she surrounded herself with, training them, supplying them, creating careful alliances (without email or cell phones), and scouting the land. I hate reading war books, but this, set in a time of war, was no simple war book: farmers, accountants, songwriters, priests, and weavers all played as significant a role in the coming battles as did her warriors. ""She felt like a mummer at a fair, keeping hoops spinning on each leg and arm, around her waist and neck, some going this way, some going that, all while juggling, and singing out jokes"" (p. 671).The book's heart is an intentional community, Menewood, an egalitarian, feminist community, led by women and men who were far seeing. As Brona said, ""You said you wanted curious people, clever people. People who listen, people who learn. People who have to be told only once. And people who aren’t afraid to try a better way” (p. 634). Not something that many are willing to do.I appreciated Griffith's maps, the extensive list of characters, family tree, pronunciation guides, etc., that are almost necessary for those of us who don't speak Anglisch and are confused by the similar names among family members (e.g., Oswald, Oswine, Osthryth, Osric, Oswiu, and Osfrith). I referred frequently to the Cast of Characters, but did not feel overwhelmed by the 100+ recurring characters peopling Menewood....more",Notes are private!,0,1,1,"Mar 09, 2024","Mar 17, 2024","Mar 09, 2024",,Kindle Edition,view (with text),/book/show/61380820-menewood
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"My Sister, the Serial Killer","Braithwaite, Oyinkan*",,,B07D7KJV13,240        pp,3.67,"293,701","Jul 17, 2018","Jan 03, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I loved My Sister, The Serial Killer until its ending. Oyinkan Brathwaite wrote in short, punchy chapters, showing, not telling the reader about abuseI loved My Sister, The Serial Killer until its ending. Oyinkan Brathwaite wrote in short, punchy chapters, showing, not telling the reader about abuse, misogyny, patriarchy, and the objectifying power of the male gaze. Some of these men were clearly abusive or arrogant, but others were kind and good-hearted in most parts of their lives. But, could they see beyond Ayoola's beautiful surface? What danger comes when they fail to do so?I kept thinking of the folk figure, Anansi, while listening to My Sister, The Serial Killer. Anansi (and Ayoola) outsmarts more powerful opponents with cunning, creativity and wit. Anansi (and Ayoola) often takes center stage and is both protagonist and antagonist. Anansi's character often functioned, as it did here, as a model of resistance: labeling that something was wrong and identifying that there were solutions. Nonetheless, its ending, which aligned Korede with Ayoola, spoiled the book for me. It seemed like Brathwaite took the easy path. Are there other responses to abuses of power? Contrast Brathwaite's choices with Safiya Sinclair's in How to Say Babylon, which I'd just finished and haven't yet ed. In some ways Brathwaite's choices were more satisfying (in the short term), but presumably Korede and Ayoola have to live with themselves at the end of the day. (I'm not a thriller sort of person, so this may be me.)I listened to the audiobook. Adepero Oduye gave a wonderful, nuanced read.Wonderful cover!...more",Notes are private!,0,1,1,"Mar 09, 2024","Mar 09, 2024","Mar 09, 2024",,Kindle Edition,view (with text),/book/show/40317428-my-sister-the-serial-killer
