,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Ryan's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,War of the Foxes,"Siken, Richard",1556594771,9781556594779,1556594771,49        pp,4.15,"7,595","Apr 28, 2015","Apr 28, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Paperback,view,/book/show/21532793-war-of-the-foxes
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,frank: sonnets,"Seuss, Diane",1644450453,9781644450451,1644450453,137        pp,4.51,"1,643","Mar 02, 2021","Mar 02, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Paperback,view,/book/show/53317415-frank
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Goodbye Without Leaving,"Colwin, Laurie",006304644X,9780063046443,006304644X,256        pp,3.92,"1,231",1990,"Mar 23, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Paperback,view,/book/show/54236135-goodbye-without-leaving
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,James,"Everett, Percival",0385550367,9780385550369,0385550367,303        pp,4.63,"6,292","Mar 19, 2024","Mar 19, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,Apr 2024,"Apr 06, 2024","Apr 01, 2024",,Hardcover,view,/book/show/173754979-james
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Grandmother Begins the Story,"Porter, Michelle",1643755188,9781643755182,1643755188,336        pp,3.84,"1,533","Nov 07, 2023","Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Hardcover,view,/book/show/123204565-a-grandmother-begins-the-story
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lucky Red,"Cravens, Claudia",0593498240,9780593498248,,304        pp,3.95,"3,203","Jun 20, 2023","Jun 20, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Hardcover,view,/book/show/61387980-lucky-red
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lightning Rods,"DeWitt, Helen",0811219437,9780811219433,0811219437,273        pp,3.44,"2,509","Oct 05, 2011","Oct 05, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2024",,Hardcover,view,/book/show/10917836-lightning-rods
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,By Grand Central Station I Sat Down and Wept,"Smart, Elizabeth",,,,134        pp,3.53,"5,976",1945,2015,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Paperback,view,/book/show/25764371-by-grand-central-station-i-sat-down-and-wept
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Now Go: On Grief and Studio Ghibli,"Smith, Karl Thomas*",1912489589,9781912489589,1912489589,112        pp,3.60,522,"Oct 13, 2022","Oct 13, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Paperback,view,/book/show/63276347-now-go
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Night Sky with Exit Wounds,"Vuong, Ocean",,,,89        pp,4.20,"39,695","Apr 05, 2016","Apr 05, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Mar 26, 2024","Apr 04, 2024","Mar 26, 2024",,Paperback,view,/book/show/23841432-night-sky-with-exit-wounds
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Happy Couple,"Dolan, Naoise",0063330466,9780063330467,0063330466,272        pp,3.41,"8,870","May 25, 2023","Nov 07, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 23, 2024","Mar 31, 2024","Mar 23, 2024",,Hardcover,view,/book/show/112973666-the-happy-couple
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Knife: Meditations After an Attempted Murder,"Rushdie, Salman",0593730240,9780593730249,0593730240,224        pp,4.50,12,"Apr 16, 2024","Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2024",,Hardcover,view,/book/show/199344846-knife
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tell Me Everything,"Strout, Elizabeth*",0593446097,9780593446096,0593446097,336        pp,4.52,21,unknown,"Aug 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2024",,Hardcover,view,/book/show/204811915-tell-me-everything
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Designing Your Life: Build a Life that Works for You,"Burnett, Bill",1784740241,9781784740245,1784740241,240        pp,3.91,"20,253","May 05, 2016","Jan 01, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 18, 2024",not set,"Mar 18, 2024",,Paperback,view,/book/show/26046333-designing-your-life
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fruit of the Dead,"Lyon, Rachel*",1668020858,9781668020852,1668020858,320        pp,3.68,724,"Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Hardcover,view,/book/show/176443312-fruit-of-the-dead
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Happy All the Time,"Colwin, Laurie",0593313895,9780593313893,B08LYSCFZ1,224        pp,3.86,"5,422","Sep 12, 1978",Feb 2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Kindle Edition,view,/book/show/57602357-happy-all-the-time
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Coexistence: Stories,"Belcourt, Billy-Ray*",0735242038,9780735242036,0735242038,192        pp,4.67,30,"May 21, 2024","May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/197728434-coexistence
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ghostroots: Stories,"Aguda, 'Pemi",1324065850,9781324065852,1324065850,224        pp,4.35,20,unknown,"May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 04, 2024",,Hardcover,view,/book/show/200196202-ghostroots
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blessings,"Ibeh, Chukwuebuka",0385550642,9780385550642,0385550642,288        pp,4.24,201,"Feb 22, 2024","Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2024",,Hardcover,view,/book/show/198563681-blessings
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fetishist,"Min, Katherine",0593713656,9780593713655,0593713656,304        pp,3.76,"1,056","Jan 09, 2024","Jan 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 04, 2024",,Hardcover,view,/book/show/145624511-the-fetishist
