,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Melissa's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Born Chinese,"Yang, Gene Luen*",1596431520,9781596431522,1596431520,240        pp,3.89,"94,759","Sep 01, 2006","Sep 05, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 12, 2024",not set,"Apr 12, 2024",,Paperback,view,/book/show/118944.American_Born_Chinese
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Interior Chinatown,"Yu, Charles*",,,0307907198,288        pp,3.97,"58,325","Jan 28, 2020","Jan 28, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 06, 2024","Apr 07, 2024","Apr 06, 2024",,Hardcover,view,/book/show/44436221-interior-chinatown
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House on Mango Street,"Cisneros, Sandra",0679734775,9780679734772,0679734775,110        pp,3.69,"190,564",1984,"Apr 03, 2009",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 02, 2024","Apr 03, 2024","Apr 02, 2024",,Paperback,view,/book/show/139253.The_House_on_Mango_Street
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wonderstruck,"Selznick, Brian",0545027896,9780545027892,B01KB065NO,640        pp,4.17,"57,882","Sep 13, 2011","Jan 01, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 31, 2024","Apr 07, 2024","Mar 31, 2024",,Paperback,view,/book/show/10128428-wonderstruck
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The River of Doubt: Theodore Roosevelt's Darkest Journey,"Millard, Candice",0767913736,9780767913737,0767913736,416        pp,4.19,"67,553","Oct 18, 2005","Oct 10, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2024",,Paperback,view,/book/show/78508.The_River_of_Doubt
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Poverty, by America","Desmond, Matthew*",0593239938,9780593239933,0593239938,320        pp,4.28,"34,013","Mar 21, 2023","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Paperback,view,/book/show/204736844-poverty-by-america
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maniac Magee,"Spinelli, Jerry",0590452037,9780590452038,0590452037,184        pp,3.90,"124,993","Apr 02, 1990","Apr 28, 2002",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 06, 2024","Mar 12, 2024","Mar 06, 2024",,Paperback,view,/book/show/139463.Maniac_Magee
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Homecoming,"Morton, Kate*",0063020904,9780063020900,0063020904,560        pp,4.08,"69,165","Apr 04, 2023","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Paperback,view,/book/show/199144614-homecoming
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wandering Stars,"Orange, Tommy*",0593318250,9780593318256,0593318250,336        pp,4.01,"4,946","Feb 27, 2024","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Hardcover,view,/book/show/174147294-wandering-stars
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Morningside,"Obreht, Téa*",1984855506,9781984855503,1984855506,304        pp,3.74,657,"Mar 19, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Hardcover,view,/book/show/179546766-the-morningside
