,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Mary-ellen's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Morbid Taste for Bones        (Chronicles of Brother Cadfael, #1)","Peters, Ellis",0446400157,9780446400152,0446400157,197        pp,3.97,"41,506",Aug 1977,1994,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 03, 2024",,Mass Market Paperback,view,/book/show/321545.A_Morbid_Taste_for_Bones
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Betting on You,"Painter, Lynn*",1665921234,9781665921237,1665921234,432        pp,4.11,"39,279","Nov 28, 2023","Nov 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 07, 2024",,Hardcover,view,/book/show/60197314-betting-on-you
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Jasad Heir        (The Scorched Throne, #1)","Hashem, Sara*",0316477869,9780316477864,,523        pp,3.99,"12,234","Jul 18, 2023","Jul 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 02, 2023",,Paperback,view,/book/show/60581370-the-jasad-heir
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Seven Year Slip,"Poston, Ashley*",,,,352        pp,4.26,"146,274","Jun 27, 2023","Jun 27, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 02, 2023",,Paperback,view,/book/show/62926938-the-seven-year-slip
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Yumi and the Nightmare Painter,"Sanderson, Brandon*",1250899699,9781250899699,,384        pp,4.49,"46,207","Jul 01, 2023","Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 11, 2023",not set,"Nov 11, 2023",,Hardcover,view,/book/show/78540524-yumi-and-the-nightmare-painter
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Grimm Society        (The Grimm Society, #1)","Hahn, Chanda*",,,,unknown,4.52,161,"Aug 29, 2023",unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 08, 2023",,,view,/book/show/197619140-the-grimm-society
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"What the River Knows        (Secrets of the Nile, #1)","Ibanez, Isabel*",1250803373,9781250803375,1250803373,404        pp,3.96,"30,863","Oct 31, 2023","Oct 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 07, 2023",,Hardcover,view,/book/show/65213381-what-the-river-knows
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Assistant to the Villain        (Assistant to the Villain, #1)","Maehrer, Hannah Nicole*",1649375808,9781649375803,1649375808,342        pp,3.90,"90,308","Aug 29, 2023","Aug 29, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is not really a standalone book, so the ending was not satisfying. It reads like a much longer book that's been cut into three.I don't think I'llThis is not really a standalone book, so the ending was not satisfying. It reads like a much longer book that's been cut into three.I don't think I'll bother to read on....more",Notes are private!,0,1,1,"Sep 30, 2023","Oct 02, 2023","Sep 30, 2023",,Paperback,view (with text),/book/show/123257687-assistant-to-the-villain
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Last Devil to Die        (Thursday Murder Club, #4)","Osman, Richard",0241512441,9780241512449,0241512441,422        pp,4.51,"108,169","Sep 14, 2023","Sep 14, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Oct 18, 2023","Oct 22, 2023","Sep 28, 2023",,Hardcover,view,/book/show/62226126-the-last-devil-to-die
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Strength of the Few        (Hierarchy, #2)","Islington, James*",,,,unknown,4.62,29,unknown,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 28, 2023",,,view,/book/show/169485073-the-strength-of-the-few
