,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Moonkiszt's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Et Cetera: An Illustrated Guide to Latin Phrases,"Lee-Chin, Maia*",1524886343,9781524886349,1524886343,144        pp,5.00,19,unknown,"Aug 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,52:42,Notes are private!,0,0,1,"Apr 11, 2024",not set,"Apr 11, 2024",,Hardcover,view (with text),/book/show/176440282-et-cetera
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Twenty-One Balloons,"Pène du Bois, William",0140320970,9780140320978,0140320970,180        pp,3.96,"24,909","Sep 14, 1947",1986,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Paperback,view,/book/show/837501.The_Twenty_One_Balloons
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dawnlands        (The Fairmile #3),"Gregory, Philippa*",150118721X,9781501187216,150118721X,526        pp,4.06,"6,337",Nov 2022,"Nov 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 10, 2024",not set,"Apr 10, 2024",,Paperback,view,/book/show/60459297-dawnlands
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dark Tides        (The Fairmile, #2)","Gregory, Philippa*",150118718X,9781501187186,150118718X,464        pp,3.85,"14,263","Nov 24, 2020","Nov 24, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Hardcover,view,/book/show/49127754-dark-tides
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tidelands        (The Fairmile, #1)","Gregory, Philippa*",1501187155,9781501187155,1501187155,455        pp,3.83,"28,715","Aug 20, 2019","Aug 20, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 10, 2024",not set,"Apr 10, 2024",,Hardcover,view,/book/show/43015674-tidelands
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Porpoise,"Haddon, Mark",1784742821,9781784742829,1784742821,336        pp,3.38,"5,644","May 09, 2019","May 02, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 10, 2024",not set,"Apr 10, 2024",,Hardcover,view,/book/show/41087290-the-porpoise
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The In-Between: Unforgettable Encounters During Life's Final Moments,"Vlahos, Hadley *",059349993X,9780593499931,059349993X,288        pp,4.53,"25,975","Jun 13, 2023","Jun 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 09, 2024",not set,"Apr 09, 2024",,Hardcover,view,/book/show/63033521-the-in-between
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Oil and Marble,"Storey, Stephanie*",1628726393,9781628726398,1628726393,362        pp,4.07,"9,934","Mar 01, 2016","Mar 01, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Hardcover,view,/book/show/25898723-oil-and-marble
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Left Hand of Darkness,"Le Guin, Ursula K.",1473221625,9781473221628,1473221625,304        pp,4.10,"181,948",1969,"Mar 09, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Paperback,view,/book/show/33830160-the-left-hand-of-darkness
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cut and Thirst,"Atwood, Margaret*",1662523335,9781662523335,B0CRJGKXBS,35        pp,3.06,"3,162","May 01, 2024","May 01, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Kindle Edition,view,/book/show/209411839-cut-and-thirst
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lost Story,"Shaffer, Meg*",0593598873,9780593598870,0593598873,352        pp,4.17,587,"Jul 04, 2024","Jul 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Hardcover,view,/book/show/199927030-the-lost-story
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Heloise & Abelard: A New Biography,"Burge, James*",0060816139,9780060816131,0060816139,336        pp,3.85,394,2003,"Jan 24, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Paperback,view,/book/show/109771.Heloise_Abelard
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Woman, Captain, Rebel: The Extraordinary True Story of a Daring Icelandic Sea Captain","Willson, Margaret",,9781728240053,,416        pp,3.92,663,"Jan 31, 2023","Jan 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Paperback,view,/book/show/61266714-woman-captain-rebel
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jip: His Story,"Paterson, Katherine",014240411X,9790142404118,014240411X,192        pp,3.73,"1,349","Oct 01, 1996","Jan 01, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Paperback,view,/book/show/880225.Jip
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Marvin One Too Many        (I Can Read Book 3),"Paterson, Katherine",0064442799,9780064442794,0064442799,48        pp,3.35,51,2001,"Jul 01, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Paperback,view,/book/show/427793.Marvin_One_Too_Many
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Angels and Other Strangers,"Paterson, Katherine",0064402835,9780064402835,0064402835,118        pp,3.72,154,"Nov 01, 1979","Sep 07, 1988",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Paperback,view,/book/show/542147.Angels_and_Other_Strangers
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Angel and the Donkey,"Paterson, Katherine",0395689694,9780395689691,0395689694,34        pp,3.71,17,1996,"Jan 01, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/1521888.The_Angel_and_the_Donkey
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Midnight Clear: Family Christmas Stories,"Paterson, Katherine",0142300373,9780142300374,0142300373,224        pp,3.63,460,1995,"Sep 24, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Paperback,view,/book/show/401276.A_Midnight_Clear
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Master Puppeteer,"Paterson, Katherine",0064402819,9780064402811,0064402819,179        pp,3.75,"3,477","Jan 01, 1975","Mar 24, 1989",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Paperback,view,/book/show/215059.The_Master_Puppeteer
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Tale of the Mandarin Ducks,"Paterson, Katherine",0140557393,9780140557398,0140557393,40        pp,4.11,522,"Sep 26, 1990","Nov 01, 1995",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Paperback,view,/book/show/880224.The_Tale_of_the_Mandarin_Ducks
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Marvin's Best Christmas Present Ever        (I Can Read Level 3),"Paterson, Katherine",0064442659,9780064442657,0064442659,48        pp,3.84,74,"Oct 30, 1997","Oct 01, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Paperback,view,/book/show/302750.Marvin_s_Best_Christmas_Present_Ever
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Come Sing, Jimmy Jo","Paterson, Katherine",0140373977,9780140373974,0140373977,208        pp,3.61,309,1985,"Jan 01, 1995",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Paperback,view,/book/show/215064.Come_Sing_Jimmy_Jo
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lyddie,"Paterson, Katherine",0440847087,9780440847083,0440847087,182        pp,3.62,"7,010",1991,1991,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Paperback,view,/book/show/258905.Lyddie
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sign of the Chrysanthemum,"Paterson, Katherine",0064402320,9780064402323,0064402320,144        pp,3.32,614,1973,"Jun 03, 1988",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Paperback,view,/book/show/90677.The_Sign_of_the_Chrysanthemum
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Great Gilly Hopkins,"Paterson, Katherine",9992956402,9789992956403,9992956402,0        pp,3.92,12,unknown,"Jan 01, 1987",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Paperback,view,/book/show/61300264-the-great-gilly-hopkins
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Birdie's Bargain,"Paterson, Katherine",1536215597,9781536215595,1536215597,240        pp,3.55,82,"Oct 19, 2021","Oct 19, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/56917493-birdie-s-bargain
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Preacher's Boy,"Paterson, Katherine",0192750852,9780192750853,0192750852,unknown,3.57,338,1999,"Jan 01, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Paperback,view,/book/show/205610.Preacher_s_Boy
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Park's Quest,"Paterson, Katherine",0140342621,9780140342628,0140342621,148        pp,3.30,469,"Jan 01, 1988","Sep 01, 1989",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Paperback,view,/book/show/1158114.Park_s_Quest
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Day of the Pelican,"Paterson, Katherine",0547181884,9780547181882,0547181884,160        pp,3.72,"1,025","Oct 19, 2009","Oct 19, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/6561164-the-day-of-the-pelican
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Brother Sun, Sister Moon: Saint Francis of Assisi's Canticle of the Creatures","Paterson, Katherine",0811877345,9780811877343,0811877345,36        pp,4.06,922,"Apr 29, 2011","May 18, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/9677020-brother-sun-sister-moon
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Brigadista Year,"Paterson, Katherine",0763695084,9780763695088,0763695084,198        pp,3.92,"1,263","Oct 10, 2017","Oct 16, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/34427289-my-brigadista-year
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Bread and Roses, Too","Paterson, Katherine",0618654798,9780618654796,0618654798,275        pp,3.78,"2,614","Jul 28, 2006","Jan 01, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/2847.Bread_and_Roses_Too
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Same Stuff as Stars,"Paterson, Katherine",0060557125,9780060557126,0060557125,256        pp,3.91,"2,007","Jan 01, 2002","Apr 13, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Paperback,view,/book/show/1033674.The_Same_Stuff_as_Stars
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bridge to Terabithia,"Paterson, Katherine",,,B001UFP6JY,190        pp,4.05,"546,181","Oct 21, 1977","Oct 06, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Kindle Edition,view,/book/show/40940121-bridge-to-terabithia
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Amy and Isabelle,"Strout, Elizabeth*",0375705198,9780375705199,0375705198,304        pp,3.90,"27,840","Jul 01, 1998","Feb 01, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Paperback,view,/book/show/167216.Amy_and_Isabelle
