,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Abigail's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mating in Captivity: Reconciling the Erotic and the Domestic,"Perel, Esther",0060753633,9780060753634,0060753633,272        pp,4.18,"40,019","Sep 05, 2006","Sep 05, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 04, 2024","Apr 14, 2024","Apr 14, 2024",,Hardcover,view,/book/show/27485.Mating_in_Captivity
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bel Canto,"Patchett, Ann",,,0060838728,318        pp,3.93,"283,660","May 22, 2001","Feb 07, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 18, 2024","Mar 26, 2024","Mar 27, 2024",,Paperback,view,/book/show/5826.Bel_Canto
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Hate You-Don't Leave Me: Understanding the Borderline Personality,"Kreisman, Jerold J.",0380713055,9780380713059,0380713055,207        pp,3.79,"12,997",1989,"Jan 01, 1989",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 20, 2023","Dec 21, 2023","Feb 21, 2024",,Paperback,view,/book/show/145391.I_Hate_You_Don_t_Leave_Me
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let the Great World Spin,"McCann, Colum*",1400063736,9781400063734,1400063736,351        pp,3.95,"105,001","Jun 16, 2009","Jun 23, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 28, 2023","Nov 06, 2023","Nov 06, 2023",,Hardcover,view,/book/show/5941033-let-the-great-world-spin
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Conversations with Friends,"Rooney, Sally*",0451499077,,B01M6XMA62,304        pp,3.76,"475,155","May 25, 2017","Jul 11, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 25, 2023","Oct 30, 2023","Oct 25, 2023",,Kindle Edition,view,/book/show/32187419-conversations-with-friends
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Foster,"Keegan, Claire",0571255655,9780571255658,0571255655,89        pp,4.33,"81,540",Feb 2010,"Feb 10, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 25, 2023","Oct 25, 2023","Oct 25, 2023",,Paperback,view,/book/show/8143909-foster
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sharp Objects,"Flynn, Gillian*",,,,254        pp,4.02,"1,042,671","Sep 26, 2006","Jul 31, 2007",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 24, 2023","Oct 24, 2023","Oct 24, 2023",,Paperback,view,/book/show/18045891-sharp-objects
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Charlotte’s Web,"White, E.B.",0064410935,9780064410939,0064410935,184        pp,4.20,"1,836,687","Oct 15, 1952","Oct 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 20, 2023",,Paperback,view,/book/show/24178.Charlotte_s_Web
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tales from the Café        (Before the Coffee Gets Cold, #2)","Kawaguchi, Toshikazu",1529050863,9781529050868,1529050863,192        pp,4.00,"74,895","Mar 14, 2017","Sep 17, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 08, 2023","Oct 09, 2023","Oct 09, 2023",,Paperback,view,/book/show/54373691-tales-from-the-caf
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trust,"Diaz, Hernan*",0593420314,9780593420317,0593420314,402        pp,3.84,"98,357","May 03, 2022","May 03, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 02, 2023","Dec 09, 2023","Oct 02, 2023",,Hardcover,view,/book/show/58210933-trust
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Witch Elm,"French, Tana*",0735224633,9780735224636,,528        pp,3.57,"99,277","Oct 09, 2018","Oct 09, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 27, 2023","Oct 02, 2023","Oct 01, 2023",,ebook,view,/book/show/39720991-the-witch-elm
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When No One Is Watching,"Cole, Alyssa*",0062982656,9780062982650,0062982656,352        pp,3.50,"94,586","Sep 01, 2020","Sep 01, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 24, 2023","Sep 26, 2023","Sep 26, 2023",,Paperback,view,/book/show/49398072-when-no-one-is-watching
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Such a Fun Age,"Reid, Kiley",,,,310        pp,3.79,"521,970","Dec 31, 2019","Dec 31, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 20, 2023","Sep 24, 2023","Sep 20, 2023",,Hardcover,view,/book/show/43923951-such-a-fun-age
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Be Eaten,"Adelmann, Maria*",0316450847,9780316450843,0316450847,291        pp,3.61,"10,213","May 31, 2022","May 31, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 09, 2023","Oct 15, 2023","Sep 20, 2023",,Hardcover,view,/book/show/58950713-how-to-be-eaten
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Searcher,"French, Tana*",073522465X,9780735224650,073522465X,451        pp,3.79,"126,156","Oct 06, 2020","Oct 06, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 23, 2023","Sep 24, 2023","Sep 20, 2023",,Hardcover,view,/book/show/52661162-the-searcher
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"In the Woods        (Dublin Murder Squad, #1)","French, Tana*",,,,431        pp,3.79,"400,127","May 17, 2007","May 27, 2008",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 25, 2023","Oct 17, 2023","Sep 20, 2023",,Paperback,view,/book/show/2459785.In_the_Woods
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Wind in the Door        (Time Quintet, #2)","L'Engle, Madeleine",,9780440487616,0440487617,236        pp,3.99,"127,415","Jan 01, 1973",Mar 1976,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 17, 2023","Sep 20, 2023","Sep 20, 2023",,Mass Market Paperback,view,/book/show/18130.A_Wind_in_the_Door
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Maidens,"Michaelides, Alex*",1250304458,9781250304452,1250304458,337        pp,3.63,"333,285","Jun 03, 2021","Jun 15, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 20, 2023","Sep 20, 2023","Sep 20, 2023",,Hardcover,view,/book/show/45300567-the-maidens
