,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Travis's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Talent for Murder,"Swanson, Peter*",0063205033,9780063205031,0063205033,320        pp,4.26,114,"Jul 04, 2024","Jun 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Hardcover,view,/book/show/199116301-a-talent-for-murder
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Doomsday Calculation: How an Equation that Predicts the Future Is Transforming Everything We Know About Life and the Universe,"Poundstone, William",0316440701,9780316440707,0316440701,320        pp,3.68,281,unknown,"Jun 04, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Apr 2024,"Apr 01, 2024",,Hardcover,view,/book/show/42283303-the-doomsday-calculation
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Out of the Silent Planet        (The Space Trilogy, #1)","Lewis, C.S.",0007157150,9780007157150,0007157150,160        pp,3.93,"94,889",1938,"Jan 01, 2005",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 25, 2024","Mar 25, 2024",,Paperback,view,/book/show/25350.Out_of_the_Silent_Planet
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nightwatching,"Sierra, Tracy*",0593654765,9780593654767,0593654765,368        pp,3.97,"6,213","Feb 01, 2024","Feb 06, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 20, 2024","Mar 20, 2024",,Hardcover,view,/book/show/150246179-nightwatching
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hairpin Bridge,"Adams, Taylor*",0063065444,9780063065444,0063065444,306        pp,3.50,"14,740","Jun 15, 2021","Jun 15, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 07, 2024","Mar 07, 2024",,Hardcover,view,/book/show/55339001-hairpin-bridge
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"God's Monsters: Vengeful Spirits, Deadly Angels, Hybrid Creatures, and Divine Hitmen of the Bible","Hamori, Esther J.",,,1506486320,296        pp,4.09,220,unknown,"Oct 31, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Feb 26, 2024","Feb 26, 2024",,Hardcover,view,/book/show/144667245-god-s-monsters
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,First Born,"Dean, Will",198215652X,9781982156527,198215652X,368        pp,3.61,"12,857","Apr 12, 2022","Jul 05, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Feb 20, 2024","Feb 20, 2024",,Paperback,view,/book/show/59366155-first-born
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last One,"Dean, Will",1668021153,9781668021156,1668021153,448        pp,3.66,"16,074","Aug 08, 2023","Aug 08, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Feb 15, 2024","Feb 15, 2024",,Paperback,view,/book/show/62919433-the-last-one
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Station Eternity        (The Midsolar Murders, #1)","Lafferty, Mur*",0593098110,9780593098110,0593098110,457        pp,3.71,"5,976","Oct 04, 2022","Oct 04, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jan 31, 2024","Jan 31, 2024",,Paperback,view,/book/show/60035241-station-eternity
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Oathbringer        (The Stormlight Archive, #3)","Sanderson, Brandon*",076532637X,9780765326379,076532637X,"1,243        pp",4.62,"244,652","Nov 14, 2017","Nov 14, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Jan 20, 2024","Jan 20, 2024",,Hardcover,view,/book/show/34002132-oathbringer
