,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Anna's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blue Ruin,"Kunzru, Hari*",0593801377,9780593801376,0593801377,272        pp,4.28,29,"May 14, 2024","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Hardcover,view,/book/show/196845471-blue-ruin
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Coming Bad Days,"Bernstein, Sarah",1911547909,9781911547907,1911547909,265        pp,3.48,315,"Apr 22, 2021","Apr 22, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Paperback,view,/book/show/56786205-the-coming-bad-days
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The New Queer Conscience,"Eli, Adam*",0593093682,9780593093689,0593093682,64        pp,4.20,"1,791","Jun 02, 2020","Jun 02, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Paperback,view,/book/show/51794273-the-new-queer-conscience
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lessons in Chemistry,"Garmus, Bonnie*",,,,390        pp,4.30,"1,230,708","Mar 31, 2022","Apr 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 24, 2024",not set,"Mar 24, 2024",,Hardcover,view,/book/show/58065033-lessons-in-chemistry
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Fifth Season        (The Broken Earth, #1)","Jemisin, N.K.*",,,,468        pp,4.31,"268,448","Aug 04, 2015","Aug 04, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2024",,Paperback,view,/book/show/19161852-the-fifth-season
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Arsenic Eater's Wife,"Mitchell, Tonya*",1504093607,9781504093606,B0CQ92MXNY,334        pp,4.09,"1,002","Feb 08, 2024","Feb 08, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Kindle Edition,view,/book/show/203994965-the-arsenic-eater-s-wife
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Unit,"Holmqvist, Ninni",1590513134,9781590513132,1590513134,268        pp,3.75,"10,205","Aug 29, 2006","Jun 09, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Trade Paper,view,/book/show/5730888-the-unit
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Louder Than Words,"Woodfolk, Ashley*",,9781338875577,,336        pp,4.00,12,unknown,"Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Hardcover,view,/book/show/195263508-louder-than-words
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Skin and Its Girl,"Cypher, Sarah*",0593499530,9780593499535,0593499530,336        pp,3.77,868,"Apr 25, 2023","Apr 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Hardcover,view,/book/show/61827532-the-skin-and-its-girl
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stay True,"Hsu, Hua*",0385547773,9780385547772,0385547773,208        pp,4.04,"27,015","Sep 27, 2022","Sep 27, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Hardcover,view,/book/show/59900070-stay-true
