,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Remy's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beyond Measure: The Hidden History of Measurement from Cubits to Quantum Constants,"Vincent, James*",1324035854,9781324035855,1324035854,432        pp,3.87,887,"May 31, 2022","Nov 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Hardcover,view,/book/show/60165431-beyond-measure
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Trouble with Testosterone and Other Essays on the Biology of the Human Predicament,"Sapolsky, Robert M.",0684838915,9780684838915,0684838915,288        pp,4.18,"1,907",1997,"Apr 24, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Paperback,view,/book/show/20668.The_Trouble_with_Testosterone_and_Other_Essays_on_the_Biology_of_the_Human_Predicament
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Determined: A Science of Life without Free Will,"Sapolsky, Robert M.",0525560971,9780525560975,0525560971,528        pp,4.27,"2,396","Oct 17, 2023","Oct 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Hardcover,view,/book/show/83817782-determined
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Political Order and Political Decay: From the Industrial Revolution to the Globalization of Democracy,"Fukuyama, Francis",0374227357,9780374227357,0374227357,672        pp,4.35,"4,446","Sep 25, 2014","Sep 30, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Hardcover,view,/book/show/20575435-political-order-and-political-decay
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Liberalism and Its Discontents,"Fukuyama, Francis",0374606714,9780374606718,0374606714,178        pp,3.94,"2,325","May 10, 2022","May 10, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Hardcover,view,/book/show/58837538-liberalism-and-its-discontents
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Origins of Political Order: From Prehuman Times to the French Revolution,"Fukuyama, Francis",0374227349,9780374227340,0374227349,585        pp,4.18,"9,515","Jan 01, 2011","Apr 12, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Hardcover,view,/book/show/9704856-the-origins-of-political-order
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Passion for Ignorance: What We Choose Not to Know and Why,"Salecl, Renata",0691195609,9780691195605,0691195609,208        pp,3.44,208,"Sep 29, 2020","Sep 29, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Hardcover,view,/book/show/48710561-a-passion-for-ignorance
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Uncertain Ground: Citizenship in an Age of Endless, Invisible War","Klay, Phil*",,,B09CWPKNXQ,272        pp,4.26,291,2022,"May 17, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Kindle Edition,view,/book/show/58961939-uncertain-ground
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The West Texas Power Plant That Saved the World: Energy, Capitalism, and Climate Change","Bowman, Andy",1682830942,9781682830949,B08SZ9Y6L9,0        pp,4.15,33,unknown,"Aug 31, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Kindle Edition,view,/book/show/59006152-the-west-texas-power-plant-that-saved-the-world
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Saving Us: A Climate Scientist's Case for Hope and Healing in a Divided World,"Hayhoe, Katharine*",,,B08BZW2BQG,318        pp,4.32,"2,165","Sep 21, 2021","Sep 21, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Kindle Edition,view,/book/show/56379758-saving-us
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Debt: The First 5,000 Years","Graeber, David",1933633867,9781933633862,1933633867,534        pp,4.21,"22,069","Jul 12, 2011","Jul 12, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/6617037-debt
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Extra Life: A Short History of Living Longer,"Johnson, Steven*",0525538852,9780525538851,0525538852,320        pp,4.21,"1,055",unknown,"May 11, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/55271288-extra-life
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Nation Without Borders: The United States and Its World in an Age of Civil Wars, 1830-1910","Hahn, Steven",0670024686,9780670024681,0670024686,608        pp,3.97,252,2016,"Nov 01, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Hardcover,view,/book/show/29430011-a-nation-without-borders
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Time Is Different: Eight Centuries of Financial Folly,"Reinhart, Carmen M.",0691142165,9780691142166,0691142165,460        pp,3.77,"7,161","Sep 11, 2009","Oct 01, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 23, 2024",,Hardcover,view,/book/show/6372440-this-time-is-different
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sea Around Us,"Carson, Rachel",0195069978,9780195069976,0195069978,288        pp,4.18,"4,287",1951,"Dec 12, 1991",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Paperback,view,/book/show/542766.The_Sea_Around_Us
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Fever in the Heartland: The Ku Klux Klan's Plot to Take Over America, and the Woman Who Stopped Them","Egan, Timothy*",0735225265,9780735225268,0735225265,432        pp,4.40,"23,909","Apr 04, 2023","Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Hardcover,view,/book/show/61423989-a-fever-in-the-heartland
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Evicted: Poverty and Profit in the American City,"Desmond, Matthew*",0553447432,9780553447439,0553447432,418        pp,4.47,"97,492","Mar 01, 2016","Mar 01, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Hardcover,view,/book/show/25852784-evicted
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Poverty, by America","Desmond, Matthew*",0593239911,9780593239919,0593239911,284        pp,4.28,"34,007","Mar 21, 2023","Mar 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Hardcover,view,/book/show/61358638-poverty-by-america
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Whale Hunt. [Two Years on the Olympic Peninsula with the Makah and Their Canoe].,"Sullivan, Robert",0965080447,9780965080446,0965080447,283        pp,3.67,141,"Jan 01, 2000",Jan 2000,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Paperback,view,/book/show/8862303-a-whale-hunt-two-years-on-the-olympic-peninsula-with-the-makah-and-the
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Peace Weavers: Uniting the Salish Coast Through Cross-Cultural Marriages,"Wellman, Candace*",0874223466,9780874223460,0874223466,302        pp,4.17,18,"May 15, 2017","May 17, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Paperback,view,/book/show/33414593-peace-weavers
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bitterroot: A Salish Memoir of Transracial Adoption,"Harness, Susan Devan*",1496207467,9781496207463,1496207467,352        pp,4.28,295,"Oct 01, 2018","Oct 01, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Hardcover,view,/book/show/39859744-bitterroot
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tulalip, From My Heart: An Autobiographical Account of a Reservation Community","Dover, Harriette Shelton",0295990937,9780295990934,0295990937,344        pp,4.19,129,"Aug 26, 2013","Aug 23, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Hardcover,view,/book/show/17679296-tulalip-from-my-heart
