,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Maggi's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Say Babylon,"Sinclair, Safiya",1982132337,9781982132330,1982132337,352        pp,4.48,"9,792","Oct 03, 2023","Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Hardcover,view,/book/show/62919742-how-to-say-babylon
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lady Tan’s Circle of Women,"See, Lisa*",1982117087,9781982117085,1982117087,368        pp,4.37,"84,024","Jun 06, 2023","Jun 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Hardcover,view,/book/show/62919732-lady-tan-s-circle-of-women
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Childhood’s End,"Clarke, Arthur C.",,,,224        pp,4.12,"159,413",1953,"May 12, 1987",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Mass Market Paperback,view,/book/show/414999.Childhood_s_End
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trespasses,"Kennedy, Louise",0593540891,9780593540893,0593540891,304        pp,4.02,"33,136","Apr 14, 2022","Nov 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 13, 2024",,Hardcover,view,/book/show/60417483-trespasses
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Redwood Court,"Dameron, DeLana R.A.*",0593447026,9780593447024,0593447026,304        pp,3.38,"2,361","Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 20, 2024",,Hardcover,view,/book/show/150247430-redwood-court
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Best Strangers in the World: Stories from a Life Spent Listening,"Shapiro, Ari",0063221349,9780063221345,0063221349,256        pp,4.06,"4,928","Mar 23, 2023","Mar 21, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 16, 2024",,Hardcover,view,/book/show/61357874-the-best-strangers-in-the-world
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Women,"Hannah, Kristin*",,,B0C1X97LW7,472        pp,4.69,"226,391","Feb 06, 2024","Feb 06, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I had very mixed feelings about this book. On one hand, the descriptions of life as a nurse in the Vietnam War are fascinating (though horrifying) andI had very mixed feelings about this book. On one hand, the descriptions of life as a nurse in the Vietnam War are fascinating (though horrifying) and quite reminiscent of the old TV show MASH. The sympathetic characters and compelling, well researched story will keep you turning the pages. On the other hand, Kristin Hannah includes every single cliché and dramatic experience that could possibly have happened to any nurse from beginning to end, especially when the protagonist returns from the war with undiagnosed (and not even a recognizable condition at the time) PTSD. Coincidences abound; romantic love interests and betrayals -- it's all there in spades. More restraint and subtlety would have made this a much better book. ...more",Notes are private!,0,0,1,not set,"Feb 24, 2024","Feb 09, 2024",,Kindle Edition,view (with text),/book/show/126918788-the-women
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Packing for Mars for Kids,"Roach, Mary",,,B098V16RYM,140        pp,4.13,243,unknown,"Apr 05, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jan 28, 2024","Jan 28, 2024",,Kindle Edition,view,/book/show/60187043-packing-for-mars-for-kids
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,"Clear, James*",,,B07D23CFGR,319        pp,4.36,"870,196","Oct 16, 2018","Oct 16, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 26, 2024",,Kindle Edition,view,/book/show/40121378-atomic-habits
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vaster Wilds,"Groff, Lauren*",0593418395,9780593418390,0593418395,272        pp,3.79,"24,373","Sep 12, 2023","Sep 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2024",,Hardcover,view,/book/show/62952130-the-vaster-wilds
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Miracle and Wonder: Conversations with Paul Simon,"Gladwell, Malcolm",,,,unknown,4.58,"3,999",unknown,"Nov 16, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 31, 2023","Jan 13, 2024","Dec 31, 2023",,Audiobook,view,/book/show/59545874-miracle-and-wonder
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Brideshead Revisited,"Waugh, Evelyn",0316926345,9780316926348,0316926345,351        pp,4.00,"113,384",1945,"Sep 01, 1999",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 30, 2023","Feb 16, 2024","Dec 30, 2023",,Paperback,view,/book/show/30933.Brideshead_Revisited
