,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,David's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Historias de los territorios de cuatro comunidades del Valle de Etla, Oaxaca, a través de las Memorias de Linderos, siglos XVI al XVIII (Testimonio)","Serafin, Susana Gomez",6075392939,9786075392936,B07VQPZPXD,420        pp,0.00,0,unknown,"Jul 08, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 27, 2024",not set,"Mar 27, 2024",,Kindle Edition,view,/book/show/98018685-historias-de-los-territorios-de-cuatro-comunidades-del-valle-de-etla-oa
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Troubled: A Memoir of Foster Care, Family, and Social Class","Henderson, Rob",,,B0C7RN3ZJT,335        pp,4.42,"1,301","Feb 20, 2024","Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 27, 2024",not set,"Mar 27, 2024",,Kindle Edition,view,/book/show/177109031-troubled
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Help Wanted: A Novel,"Waldman, Adelle*",,,B0C97FR8RR,282        pp,3.72,899,"Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 20, 2024",not set,"Mar 20, 2024",,Kindle Edition,view,/book/show/180494602-help-wanted
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Primary Solution: Rescuing Our Democracy from the Fringes,"Troiano, Nick",,,B0C7RMW1Z1,347        pp,4.74,27,unknown,"Feb 27, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,Mar 2024,"Mar 15, 2024","Mar 01, 2024",,Kindle Edition,view,/book/show/177058828-the-primary-solution
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Oaxaca Resurgent: Indigeneity, Development, and Inequality in Twentieth-Century Mexico","Dillingham, A. S.",,,B096MXF9P9,272        pp,4.00,1,unknown,"Aug 03, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 12, 2024",not set,"Feb 12, 2024",,Kindle Edition,view,/book/show/62697822-oaxaca-resurgent
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La cabeza de mi padre,"Murillo, Alma Delia",6073817738,9786073817585,B09ZRXKJF9,213        pp,4.25,"3,689",May 2022,"May 13, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,2,0,1,"Jan 23, 2024","Feb 12, 2024","Jan 23, 2024",,Kindle Edition,view,/book/show/61143426-la-cabeza-de-mi-padre
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Coming Wave: Technology, Power, and the Twenty-first Century's Greatest Dilemma","Suleyman, Mustafa",0593593960,9780593593967,B0BSKW45KB,500        pp,3.88,"4,249","Sep 05, 2023","Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 15, 2024",not set,"Jan 15, 2024",,Kindle Edition,view,/book/show/125154199-the-coming-wave
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Transitions: Making Sense of Life's Changes,"Bridges, William",0738285412,9780738285412,B07QGRGDKJ,224        pp,4.04,"3,339","Aug 11, 2004","Dec 17, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 14, 2024",not set,"Jan 14, 2024",,Kindle Edition,view,/book/show/49662826-transitions
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Deadline: Essays,"Lepore, Jill",,,B0BWL162ZC,622        pp,4.33,325,"Aug 29, 2023","Aug 29, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 02, 2023","Jan 22, 2024","Dec 02, 2023",,Kindle Edition,view,/book/show/156934452-the-deadline
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Creative Act: A Way of Being,"Rubin, Rick",0593653424,9780593653425,B09Z7MH5C3,418        pp,4.08,"32,184","Jan 17, 2023","Jan 17, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Nov 12, 2023","Mar 05, 2024","Nov 12, 2023",,Kindle Edition,view,/book/show/62090812-the-creative-act
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Going Infinite: The Rise and Fall of a New Tycoon,"Lewis, Michael",,,B0C5DNW987,261        pp,3.80,"21,832","Oct 03, 2023","Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 25, 2023",,Kindle Edition,view,/book/show/156552773-going-infinite
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What's Our Problem?: A Self-Help Book for Societies,"Urban, Tim",,,B0BTJCTR58,746        pp,4.28,"3,647","Feb 21, 2023","Feb 21, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 09, 2023","Dec 02, 2023","Oct 09, 2023",,Kindle Edition,view,/book/show/102146148-what-s-our-problem
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Immortality: A Novel,"Kundera, Milan",,,B0B6YDHHZN,368        pp,4.14,"38,697","Jan 12, 1990","Apr 25, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Oct 08, 2023","Oct 08, 2023",,Kindle Edition,view,/book/show/62929199-immortality
