,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Eric's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Light We Cannot See,"Doerr, Anthony*",150110456X,9781501104565,150110456X,531        pp,4.32,"1,661,366","May 06, 2014","Nov 04, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 22, 2016",,Paperback,view,/book/show/23478650-all-the-light-we-cannot-see
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ordinary Grace,"Krueger, William Kent*",1451645821,9781451645828,1451645821,307        pp,4.26,"154,930","Mar 26, 2013","Mar 26, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a solid, dependable, and consistently engaging novel -- an eminently competent and well-told coming-of-age story (indeed, it rarely makes a faThis is a solid, dependable, and consistently engaging novel -- an eminently competent and well-told coming-of-age story (indeed, it rarely makes a false move) set in Minnesota in the summer of 1961. It will resonate with those who fondly remember the film Stand By Me (or Stephen King's novella ""The Body,"" upon which the film was based), and even faintly echoes a novel like John Irving's A Prayer for Owen Meany. Although there is some predictability and probably even some excess in the novel's concluding moves, the relationship between the two young brothers is lively and endearing, and the moment that gives the book its title, late in the novel, is truly heartrending. I kept wanting more from the narrating perspective: the middle-aged Frank Drum certainly tells an absorbing story, but one would expect he has more lessons, more wisdom, and more synthesizing analysis to impart about what he learned and experienced about that momentous summer when he was 13....more",Notes are private!,0,0,1,not set,"Dec 15, 2014","Feb 04, 2015",,Hardcover,view (with text),/book/show/15803059-ordinary-grace
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Strange New Things,"Faber, Michel",055341884X,9780553418842,055341884X,500        pp,3.66,"31,441","Oct 06, 2014","Oct 28, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Faber's commitment to his story finally overcame (to some extent) my early disappointment with the novel, so in that sense the novel's length (500 pagFaber's commitment to his story finally overcame (to some extent) my early disappointment with the novel, so in that sense the novel's length (500 pages) becomes crucial to its success. Although Faber redefines the notion of a long-distance relationship in interesting ways, the ""letters"" that pass between Peter Leigh and his wife Bea, as they attempt to bridge the light years, are often too simplistic and devotional. The novel works reasonably well as a subtly dystopian tale, filled with lots of peripheral unease and possible menace (aspects which may leave one more drawn to the only partially revealed and uncertain story of Bea, rather than to the more central action involving Peter). Ultimately, despite the promising investments and elements in play in Faber's broad examination of humanity, as well as the novel's admirably respectful meditation on religion and belief (with interesting moments, in particular, related to the transmission and translation of sacred texts), I ultimately wanted more philosophical heft and sophistication. ...more",Notes are private!,0,3,1,not set,"Jan 15, 2015","Feb 04, 2015",,Hardcover,view (with text),/book/show/20697435-the-book-of-strange-new-things
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Elegance of the Hedgehog,"Barbery, Muriel",1933372605,9781933372600,1933372605,325        pp,3.80,"184,435",Aug 2006,"Sep 02, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"That it takes a while to be drawn in to the worlds and perspectives of the two narrators of Barbery’s novel is appropriate, as these are characters – That it takes a while to be drawn in to the worlds and perspectives of the two narrators of Barbery’s novel is appropriate, as these are characters – the concierge Renee and the twelve year-old Paloma – who search for recognition and validation in a world that largely overlooks them. We come to know them anecdotally and incrementally, but the process of accretion finally has its way with us, setting us up for a deeply moving conclusion. Throughout, Barbery’s narrative mode of mini-essays turns this into a light but often subtly profound and poetic novel of ideas. The novel tracks an ardent desire for human camaraderie and connection, inquires as to the nature and role of art and beauty in human life, and finds its central figures seeking transcendence from time and the everyday. It is a book that will both make you believe, as Kakuro does for Renee, in “the possibility of a camellia,” and alert to the minor moments of sublimity that are available to us even during our most ordinary and mundane days. Even when we drink a cup of tea, thinks Renee, linear time might be enriched by “a fragment of eternity,” and, “with each swallow, time is sublimed.” It is this kind of contemplation, this act of “placing our hearts at the edge of our souls,” that we must all learn to nurture and savor, and that might allow us to be rescued “from the pale succession of days.” The novel ends with a devastatingly moving and deeply consoling leave-taking, when someone for whom we’ve at last developed real affection learns what it means to die: “when we disappear, it is the others who die for us, for here I am, lying on the cold pavement and it is not the dying I care about; it has no more meaning this morning than it did yesterday. But never again will I see those I love, and if that is what dying is about, then it really is the tragedy they say it is.” She has few people who care about her enough to follow her poignant exhortation to “carry on with your life, and think of me with joy,” but I finished this novel feeling as if I am one of them....more",Notes are private!,0,2,1,not set,"Sep 20, 2014","Nov 20, 2014",,Paperback,view (with text),/book/show/2967752-the-elegance-of-the-hedgehog
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Constellation of Vital Phenomena,"Marra, Anthony*",0770436420,9780770436421,0770436420,416        pp,4.12,"53,947","May 07, 2013","Feb 04, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"At first glance, it might be hard to get enthused about the prospects of a novel about the war in Chechnya. Once begun, it was a novel that had to winAt first glance, it might be hard to get enthused about the prospects of a novel about the war in Chechnya. Once begun, it was a novel that had to win me over and earn my trust, in large part, perhaps, because I was skeptical of a young Western writer, not so far removed from his Iowa Writers’ Workshop residency, with no direct connection to the region and its warring ethnicities and sides, venturing into such traumatic terrain. But win me over Marra and Constellation did, eventually even reminding me, in some respects, of a more prose-dense and contemporary version of Ondaatje’s The English Patient. The novel takes time to gather momentum and force, and maybe, as it slides back and forth from chapter-to-chapter to years in the 1994-2004 period, it tries too hard to formalize the disjointed, broken sense of time that ensues from trauma and nearly a post-apocalyptic experience. Marra’s research, one senses, is deeply and conscientiously realized, and in such a way that it never (or rarely) seems to be “worn on its sleeve.” What eventually transfixed me were the evocations of the haunted, wintry, and forlorn landscape, and especially the indelible characters, those spectral individuals still seeking beauty, love, and life wherever (and however partially) they can. At its best, there is a hallucinatory power to this novel, marked by poetic and powerful images of the realities of war: at one point, we learn that Havaa’s parents, “among other villagers, pried toilet bowls from the rubble of collapsed houses and dragging them upside down and two by two gently set them over the unexploded shells.” And dear Havaa is surely guaranteed to linger in the reader's consciousness. At one point, the heroic doctor Sonja tries, haltingly, to comfort Havaa when the young girl asks if her missing father will ever come back. “Probably not,” Sonja tells her, and then pauses to consider her own missing sister: “I don’t know where she is. I don’t know if she’s alive or dead. I know nothing.” Of the lost, generally, Havaa then asks, “‘How do you find them?’ She lifted her gaze to Sonja as if teetering on the precipice. ‘I don’t know, Havaa. I’m sorry. I don’t. Maybe we try to find them in other people. In kindness and generosity; those things don’t disappear.’” It’s a heartbreaking moment, full of deep pathos, and puts Sonja and Havaa at the heart of this novel’s many dreams of happier elsewheres and elsewhens, its many dreams of sanctuaries, of love and life and families restored....more",Notes are private!,0,5,1,not set,"Sep 05, 2014","Nov 20, 2014",,Paperback,view (with text),/book/show/18428067-a-constellation-of-vital-phenomena
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Long Goodbye,"O'Rourke, Meghan",1594487987,9781594487989,1594487987,306        pp,3.96,"3,585","Apr 14, 2011","Apr 14, 2011",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"“My mother died of metastatic colorectal cancer shortly before 3 p.m. on Christmas Day of 2008.” Despite this stark and sober first sentence of Meghan“My mother died of metastatic colorectal cancer shortly before 3 p.m. on Christmas Day of 2008.” Despite this stark and sober first sentence of Meghan O’Rourke’s The Long Goodbye, one needn’t have lost a parent or loved one to cancer to appreciate this book. Nor should any of us turn away from it. Montaigne, after all, believed that it was a good thing to spend at least some small part of each day thinking about death; “let us deprive death of its strangeness,” he tells us, “let us frequent it, let us get used to it.” Montaigne’s urgings are all the more important given the dearth of mourning rituals in the West, a fact that O’Rourke bemoans in her book. Anguished, candid, brave, poetic, smart and scholarly, O’Rourke’s meditations are as universal as they are intensely personal. I learned a great deal from this book and, despite its subject matter, I found myself unable to put it down; it’s the kind of intellectual and emotional experience I wanted and expected from the more celebrated memoirs of loss that have appeared in recent years (I think, for example, of Joan Didion's pair of books). O’Rourke not only provides a spirited and tender tribute to her mother, but she also reflects deeply and movingly on love and loss, on family, on life’s transience and frailties, and on the otherworldliness of grief. She recognizes sorrow as not so much a state as a process; the painful but necessary growth into a new person that the bereaved must enact after a great loss is to be understood, she explains, as “not an emergence from the cocoon, but a tree growing around an obstruction.” And what greater obstruction than one’s “unmothering” – that irreplaceable portal closing, that line of knowledge fading? Such a grief is at first like a fever, according to O’Rourke, but then finally becomes best described as an amputation.O’Rourke leavens her account and her musings with shafts of light, with incremental healing, with reasons to hope. Who can fail to be moved by (or fail to relate to) the author when she describes how “a memory reaches out and touches my mind and I live proximate to it all day long”? Her desperate strivings after consolation and endurance are as honest and tentative as they are perceptive and beautiful: “What if our minds are cameras set to a narrow aperture, unable to perceive the full reality around us, and we are in the midst of a complicated storm, one that is ongoing, dynamic, imperceptible? And what if my mother were in that storm? It was in the haze of such chimeras that I found hope.”...more",Notes are private!,0,0,1,not set,"Sep 30, 2014","Nov 13, 2014",,Hardcover,view (with text),/book/show/9499320-the-long-goodbye
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Orfeo,"Powers, Richard",0393349845,9780393349849,0393349845,400        pp,3.67,"6,257","Jan 20, 2014","Sep 02, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Expectations always seem to be very high with the appearance of a new Richard Powers novel (or at least mine are): his intellect and ambition make himExpectations always seem to be very high with the appearance of a new Richard Powers novel (or at least mine are): his intellect and ambition make him, potentially, American fiction’s answer to David Mitchell. Orfeo focuses on the avant-garde composer, Peter Els, and thus finds Powers doing what he does best: writing about music (which reminds me of how impressed I was, in this regard, by his earlier novel The Time of Our Singing). His ability to blend lyrical description with rich historical anecdote might even inspire one (as it did me) to seek out, with fresh interest, Messiaen’s Quartet for the End of Time and Shostakovich’s Fifth Symphony, which are both featured memorably in the novel (the former in an evocative ten page sequence describing the composer’s experience in a Nazi prisoner of war camp in 1941, his music seeking transcendence in “the snow-buried barrack, beyond the last twist of barbed wire”). With his own work, Els seeks music that is “thorny and formidable,” that moves decisively away from classical music’s high period when “the harmonies [were] fresh and clear all the way to the horizon,” and towards the difficulties and the “wild forms and fresh sonorities” of the twentieth century; this allows him to connect the experiments of Messiaen and Berio with such contemporary artists as Radiohead and Bjork, even as he remains vulnerable to the realization that sometimes there must be “prettiness,” that sometimes “what the world really needs is a lullaby simple enough to coax a two-year-old to lay down her frantic adventure each night for another eight hours.” Despite the novel’s wonderful moments, however, I never felt fully engaged or persuaded by the main elements of the plot – e.g, the connection between biogenetics and music (which in some distant way reminded me of Kundera’s beautiful notion of “the second infinity” in The Book of Laughter and Forgetting) and especially Els’s flight as a fugitive; more significantly, despite the sometimes moving and illuminating efforts to unspool his past, Els remained for me, finally, too distant, too much of an abstraction. Maybe I needed more heart and less head, I don’t know. In any event, those aforementioned expectations are now deferred to Powers’s next novel. ...more",Notes are private!,0,0,1,not set,"Nov 06, 2014","Nov 13, 2014",,Paperback,view (with text),/book/show/20663749-orfeo
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sixth Extinction: An Unnatural History,"Kolbert, Elizabeth*",0805092994,9780805092998,0805092994,336        pp,4.15,"71,063","Feb 11, 2014","Feb 11, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"In the acknowledgements at the end of her book, Elizabeth Kolbert is both apologetic and grateful when she notes that “a journalist writing a book aboIn the acknowledgements at the end of her book, Elizabeth Kolbert is both apologetic and grateful when she notes that “a journalist writing a book about mass extinction needs a lot of help.” That may be true, but her intelligence, deep conviction, and remarkable lucidity are impressively on display in The Sixth Extinction (as they have been for years in her essays on the environment for The New Yorker); quite simply, this is a book that everyone should read, especially in the wake of the latest ominous report from the United Nations’ Intergovernmental Panel on Climate Change. It’s not my custom to be reading and ing books that traffic in such vocabulary as “species-area relationships,” “bionic attrition,” and “latitudinal diversity gradients,” that take as their subjects colossal creatures, comparative gestation periods of large mammals, Neanderthal sex, sulfate aerosols, and Antarctic palm trees, and that put me in the mindspace of catastrophists who see the 3 ½ billion year history of life marked by events “too terrible for human imagining,” but somehow this becomes the stuff of a page-turner, where one moment you’re reading about polyps and ocean chemistry and the next you’re reading about a dinner held under the ribcage of an American mastodon. Kolbert surveys humanity’s transformation of the ecological landscape, which now finds us in what some in the scientific community increasingly see as the developing Anthropocene extinction. One might find it astonishing to consider that, one day, the indelible record of the human project on this planet, “the great works of man—the sculptures and the libraries, the monuments and the museums, the cities and the factories—will be compressed into a layer of sediment not much thicker than a cigarette paper.” Ultimately, I finished this book feeling smarter, humbled and diminished, and more than a little bit scared. I also decided that, given the choice to do it all over again, I just might give up my current profession to be a stratigrapher!...more",Notes are private!,0,1,1,not set,"Mar 28, 2014","Apr 24, 2014",,Hardcover,view (with text),/book/show/17910054-the-sixth-extinction
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Swan Green,"Mitchell, David",0812974018,9780812974010,0812974018,296        pp,3.97,"42,037","Apr 11, 2006","Feb 27, 2007",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Wouldn’t you know it: the David Mitchell novel I’ve been most lax about reading turns out, quite possibly, to be his best. Black Swan Green is full ofWouldn’t you know it: the David Mitchell novel I’ve been most lax about reading turns out, quite possibly, to be his best. Black Swan Green is full of deep feeling, youthful elan, bravery, fear, humor, and the kind of incisive philosophizing that’s only available to the child’s perspective (“Green is made of yellow and blue, nothing else, but when you look at green, where’ve the yellow and the blue gone? Somehow this is to do with Moran’s dad. Somehow this is to do with everyone and everything”). It’s a novel that alternates between the spirit of Wordsworth’s “Immortality Ode,” with all of its boyish kineticism (“Ran across a field of daisies at warp speed but keep your eyes on the ground. It’s ace. Petaled stars and dandelion comets streak the green universe. Moran and I got to the barn at the far side, dizzy with intergalactic travel”), and the Island of Misfit Toys, with all of its displacement, insecurity, and social awkwardness. (Fans of indie music, by the way, may want to consider Okkervil River’s brilliant “The Silver Gymnasium” (2013) as the ideal companion text and soundtrack for this novel)Anchoring it all is the endearing, funny, and keenly observant Jason Taylor, a “middle-ranking” kid in the social hierarchy, a seeker in the suburbs, an aspiring poet with a stammer. The novel details thirteen months in the life of the thirteen year-old Jason, and although it’s Mitchell’s most conventional and least pyrotechnical novel it gives the impression of being both highly controlled and completely random at the same time. Each chapter reads as a kind of short story, at one time emphasizing domestic unease and fighting parents (whose “arguments’re speed chess these days”) and at another time, in the Bridle Path episode, for example, detailing an adventure story that could be a miniature Fellowship of the Ring narrative. Whether the kids are in the suburban driveways or the mysterious Malvern Hills, it’s always an enchanted geography, an enchantment that’s half found and half created by the youthful imagination.Joining Jason are a memorably diverse group of friends and antagonists who create a kind of Dickensian density to the social universe of the village of Black Swan Green. A sampling from the roll call of names tells a story of its own (and likely carries any reader back to the characters of his or her own grade school years): Ross Wilcox, Squelch, Pete Redmarley, Ant Little, Darren Croome, Grant Burch, et al. The novel evokes youthful elation and rites of passage (trying cigarettes for the first time, fighting war games in the woods, going “nightcreeping” through the village, etc.), the difficult negotiations of one’s place in the social scale, the attempts to neutralize the threats of bullies (“Stupidly, I tried to downgrade his attack by smiling”), who can make our protagonist feel as if “Planet Earth’d shrunk to a bubble five paces wide.” Speaking of shrinking, part of this novel’s power and resonance is its poignant depiction of a world and a state of being that inevitably close behind us, like the battlefields and playgrounds of Jason and his friends, whose “ways in’ve been wired off or walled up by brambles and farmers.” All in all, it's ace....more",Notes are private!,0,2,1,not set,"Nov 30, 2013","Feb 26, 2014",,Paperback,view (with text),/book/show/14316.Black_Swan_Green
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Starboard Sea,"Dermont, Amber*",0312642806,9780312642808,0312642806,310        pp,3.65,"4,605",2012,"Feb 28, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Dermont’s debut novel is absorbing and ultimately quite affecting, and, indeed, it makes very few false moves in terms of narrative development. It’s Dermont’s debut novel is absorbing and ultimately quite affecting, and, indeed, it makes very few false moves in terms of narrative development. It’s a story about Jason Prosper’s momentous and at times tragic year in a New England prep school/academy in the late-1980s. Haunted by a pair of friends and deaths that converge in his psyche – “together they were a pair of binary stars, two lights so close and so bright they blended into one” – Jason must negotiate his world of privilege, the burden of expectations, the always shifting (and sometimes dangerous) negotiations of teenage camaraderie (the cast of secondary characters is memorably drawn here), and somehow try to break through into some measure of autonomy and true connection with the wider world. The novel’s weakness is that it too often seems content merely to tell its story well: because it’s at its best in those moments when it’s informed by the language of the sea, and when that wider world and one’s navigation through life are represented through nautical metaphors and vocabulary, one ultimately wishes that Dermont would find occasion for sailing, philosophically, into those maritime winds more often. ...more",Notes are private!,0,1,1,not set,"Jan 17, 2014","Feb 26, 2014",,Hardcover,view (with text),/book/show/12151801-the-starboard-sea
