,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kathy's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Guest List,"Foley, Lucy",,,B07WG8L7WC,319        pp,3.82,"995,803","Feb 20, 2020","Jun 02, 2020",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I read this one a few months ago and it was pretty forgettable for me, just okay. I remember I saw most of the twists coming, finished it just to see I read this one a few months ago and it was pretty forgettable for me, just okay. I remember I saw most of the twists coming, finished it just to see what happened, but didn’t really enjoy the characters much. ...more",Notes are private!,0,0,1,not set,not set,"Mar 14, 2023",,Kindle Edition,view (with text),/book/show/52656911-the-guest-list
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Year of Yes,"Rhimes, Shonda*",1471157326,9781471157325,1471157326,352        pp,4.06,"91,540","Nov 10, 2015","Nov 10, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was enjoyable enough to listen to, read by the author, who is an accomplished TV writer and producer. She tells her stories in a funny and entertThis was enjoyable enough to listen to, read by the author, who is an accomplished TV writer and producer. She tells her stories in a funny and entertaining way. Her life, her problems, and her priorities are very different from my own, but I liked getting a behind-the-scenes peek into someone else’s life and seeing what inspires and motivates her. I’m glad she has found more happiness and satisfaction with her life. I can’t say it impacted me in any meaningful way as far as making changes in my own life, but then I’m quite happy with my life!...more",Notes are private!,0,0,1,not set,"Oct 28, 2022","Nov 03, 2022",,Paperback,view (with text),/book/show/29540318-year-of-yes
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Olive Kitteridge        (Olive Kitteridge, #1)","Strout, Elizabeth*",,,,270        pp,3.85,"236,064","Mar 25, 2008","Mar 25, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book was almost like a collection of short stories, but they were tied together in that they all featured the character Olive Kitteridge, sometimThis book was almost like a collection of short stories, but they were tied together in that they all featured the character Olive Kitteridge, sometimes in a very prominent way with the story centered around her, and sometimes as just a passing mention of her as someone’s former teacher or someone they saw in town. It also centered around the town of Crosby, Maine where they all lived and the descriptions of it are lovely. I learned after reading it that many of these chapters had previously been published as stand alone stories, which made a lot of sense. I did enjoy the different stories and characters and how they tangentially related to each other, but it was a little jarring in a way to be taken out of the main story so often and then never come back to the side stories. However, that also worked well for me because I listened to the audiobook for this and it was nice to have that complete package of a chapter with its own distinct story to listen to on a walk or on my commute. Maybe I should listen to short stories more often. Olive was an interesting character with a strong personality and complicated relationships. I feel like there are enough loose threads that I am interested in that I plan to read the sequel and watch the HBO series....more",Notes are private!,0,0,1,not set,"Oct 21, 2022","Oct 21, 2022",,Hardcover,view (with text),/book/show/1736739.Olive_Kitteridge
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Anthropocene Reviewed,"Green, John*",0525555218,9780525555216,0525555218,293        pp,4.37,"124,119","May 18, 2021","May 18, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I really loved this book with the crazy title. It’s a collection of essays where John Green basically “s” aspects of the human experience and giI really loved this book with the crazy title. It’s a collection of essays where John Green basically “s” aspects of the human experience and gives them up to 5-star ratings. (The Anthropocene is defined as the current geological age where human activity has been the dominant influence.) He also weaves in many personal stories and experiences, particularly related to his mental health and history of anxiety and depression. It’s personal, funny, touching, beautiful, wise, vulnerable, and relatable. I listened to quite a few chapters with my sons (late teens to early 20s) in the car with me and they enjoyed them as well. I laughed, cried, and even cheered. I remember all of us in the car erupting in cheers and applause at the end of the chapter about sunsets. So good. I loved listening to him reading it, but I feel like I need to buy the book too because there are definitely parts I would like to underline and re-read. ...more",Notes are private!,0,0,1,not set,"Aug 14, 2022","Oct 16, 2022",,Hardcover,view (with text),/book/show/55145261-the-anthropocene-reviewed
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Funny Farm: My Unexpected Life with 600 Rescue Animals,"Zaleski, Laurie",1250272831,9781250272836,1250272831,256        pp,4.28,"7,491","Feb 22, 2022","Feb 22, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was a book club pick, not one I would have ever thought to pick off a shelf, but I enjoyed it. It jumps back and forth between stories about the This was a book club pick, not one I would have ever thought to pick off a shelf, but I enjoyed it. It jumps back and forth between stories about the farm animals on the Funny Farm, a rescue farm for abused and abandoned animals, and stories from the childhood and young adulthood of its founder and how she came to start the Funny Farm. There are some heavy parts, as she grew up in poverty after the divorce of her parents, and had to deal with the violent and erratic behavior of her father. There are also some light and funny parts. I’m not particularly an animal person, but I did enjoy some of the funny and sweet animal stories. It was also a nice tribute to her mom, who was a hard worker and strong role model in her children’s lives and taught them to love and care for animals. ...more",Notes are private!,0,0,1,not set,"Sep 19, 2022","Oct 16, 2022",,Hardcover,view (with text),/book/show/56269214-funny-farm
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Just Mercy,"Stevenson, Bryan",,,0812994523,336        pp,4.63,"231,561","Oct 21, 2014","Oct 21, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Just a phenomenal book. I loved the movie and of course the book is even better. I listened to the audiobook with the author reading it, which was nicJust a phenomenal book. I loved the movie and of course the book is even better. I listened to the audiobook with the author reading it, which was nice. It is so inspiring to see the influence one person can have on the world and how it grows as he inspires others to join his cause. This book shines a light on the injustices in the judicial system, particularly in regards to blacks, the mentally ill, people in poverty, or otherwise disadvantaged groups. Some of the stories are hard to hear and can make you so incredibly angry that these kinds of things happen in our courts. It’s enough to make you feel really discouraged, but then hopeful again, because there are people like Bryan Stevenson out there fighting every day, and accomplishing change....more",Notes are private!,0,1,1,not set,"Oct 04, 2022","Oct 16, 2022",,Paperback,view (with text),/book/show/20342617-just-mercy
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Beartown        (Beartown, #1)","Backman, Fredrik*",,,,432        pp,4.29,"439,174","Sep 15, 2016","Apr 25, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"After reading Anxious People (twice actually) and loving it, I wanted to pick up another Fredrik Backman book and I chose this one. I can’t say it hitAfter reading Anxious People (twice actually) and loving it, I wanted to pick up another Fredrik Backman book and I chose this one. I can’t say it hit me in the same way Anxious People did, but I did enjoy it and I came to care about the characters very much. They were complicated and nuanced. This is a story of a small town in Sweden and their obsession with ice hockey. In large part it is about how it affects the boys that grow up playing the sport—the bullying, the violence, the turning a blind eye to the misbehavior of key players, the pressure—and how it affects the community as a whole. It kept foreshadowing some bad event coming and so I put it down for days or weeks because I didn’t want to read something super sad, but I finally felt I was in the mental space to deal with it and I finished the rest of the book in a day, staying up quite late to get to the end (which I try not to do when I can help it). I plan to read the subsequent books in this series at some point, and I am glad I can come back to this community and these characters that have grown on me. ...more",Notes are private!,0,1,1,not set,"Oct 15, 2022","Oct 16, 2022",,Kindle Edition,view (with text),/book/show/33413128-beartown
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Best Worst Christmas,"Forster, Kate*",,,B09M7L8C29,5        pp,3.51,"5,267",2021,"Dec 01, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Light, fun, predictable. Like a Hallmark movie. It is one of Audible’s included books with a membership so it was free. Nothing super special but it wLight, fun, predictable. Like a Hallmark movie. It is one of Audible’s included books with a membership so it was free. Nothing super special but it was short and somewhat entertaining for when you’re in the mood for something fluffy....more",Notes are private!,0,0,1,not set,"Jan 08, 2022","Jan 21, 2022",,Audible Audio,view (with text),/book/show/59736753-the-best-worst-christmas
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mere Christianity,"Lewis, C.S.",,,B07F799QGM,98        pp,4.35,"412,726",1942,"Jul 02, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I enjoyed this book a lot. It was uplifting and inspiring and made me think. I didn’t agree with every word, but I agreed with a lot of the words and I enjoyed this book a lot. It was uplifting and inspiring and made me think. I didn’t agree with every word, but I agreed with a lot of the words and it helped me see some things in a new light. I’m still thinking about the last pages and how to give up myself fully to Christ in order to find myself and to become my true self. I liked the following analogy.“Imagine a lot of people who have always lived in the dark. You come and try to describe to them what light is like. You might tell them that if they come into the light that same light would fall on them all and they would all reflect it and thus become what we call visible. Is it not quite possible that they would imagine that, since they were all receiving the same light, and all reacting to it in the same way (i.e. all reflecting it), they would all look alike? Whereas you and I know that the light will in fact bring out, or show up, how different they are.” I appreciate the thought that following Christ, or letting His light in our lives and giving over our will to His, doesn’t take away our individuality, but shines a brighter light and brings more clarity to who we really are and our unique traits. There were a lot of great thoughts and insights in this book. I’ve had it for years and I’m glad I finally read it....more",Notes are private!,0,0,1,not set,"Jan 20, 2022","Jan 20, 2022",,Kindle Edition,view (with text),/book/show/40792344-mere-christianity
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Everything Sad Is Untrue,"Nayeri, Daniel",,,,368        pp,4.33,"31,066","Aug 25, 2020","Aug 25, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 15, 2021",,Hardcover,view,/book/show/45916267-everything-sad-is-untrue
