,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Theresa's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Menopause Manifesto: Own Your Health with Facts and Feminism,"Gunter, Jen",0806540664,9780806540665,0806540664,400        pp,4.11,"5,690","May 25, 2021","May 25, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 12, 2024",,Paperback,view,/book/show/55272232-the-menopause-manifesto
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cloistered: My Years as a Nun,"Coldstream, Catherine",1250323517,9781250323514,,352        pp,3.90,306,"Mar 07, 2024","Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/127305797-cloistered
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Home to Harlem,"McKay, Claude",1555530249,9781555530242,1555530249,340        pp,3.63,"1,511",1928,"Nov 30, 1987",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 17, 2024",,Paperback,view,/book/show/999816.Home_to_Harlem
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wager: A Tale of Shipwreck, Mutiny and Murder","Grann, David*",0385534264,9780385534260,0385534264,354        pp,4.21,"96,510","Apr 18, 2023","Apr 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Hardcover,view,/book/show/61714633-the-wager
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Elderhood: Redefining Aging, Transforming Medicine, Reimagining Life","Aronson, Louise*",1620405466,9781620405468,1620405466,464        pp,3.96,"1,578","Jun 11, 2019","Jun 11, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Hardcover,view,/book/show/40607229-elderhood
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,North Woods,"Mason, Daniel*",0593597036,9780593597033,0593597036,372        pp,4.18,"27,229","Sep 19, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,Hardcover,view,/book/show/71872930-north-woods
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Diary of Frida Kahlo: An Intimate Self-Portrait,"Kahlo, Frida",0810959542,9780810959545,0810959542,296        pp,3.92,"45,323",1995,"Aug 09, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Deeply personal account of Frida’s final 10 years of her life during which she experienced incredible pain, expressed in words and illustrations. The Deeply personal account of Frida’s final 10 years of her life during which she experienced incredible pain, expressed in words and illustrations. The introductory essays were highly academic and informative, which helped provide necessary context. ...more",Notes are private!,0,1,1,"Feb 09, 2024","Feb 26, 2024","Feb 09, 2024",,Hardcover,view (with text),/book/show/91760.The_Diary_of_Frida_Kahlo
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bird Hotel,"Maynard, Joyce*",,,B0BHTPZBMX,457        pp,4.32,"6,568","May 02, 2023","May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 24, 2024",,Kindle Edition,view,/book/show/62357986-the-bird-hotel
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hello Beautiful,"Napolitano, Ann*",,,B0B7R4Q5DJ,416        pp,4.18,"297,710","Mar 14, 2023","Mar 14, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"**spoiler alert** Strong setup that continued to rise with great depth of characters and then really leveled off for the second half of the book with **spoiler alert** Strong setup that continued to rise with great depth of characters and then really leveled off for the second half of the book with a lot of redundancy and little nuance. With the multiple voices I would have liked to have seen even more emotion come through. For example, the strong-willed and stubborn Julia - my imagination leads me to expect that she would have had a lot more ""choice words"" and would have helped us better understand how she REALLY felt that allowed her to easily walk away from her family for 25 years. I wanted to know more about how she actually achieved such power and financial success as a single mom in NYC in the 80's without the comfort and support of her family with whom she shared so much. As one of the central characters, I expected more, especially at the end when somehow all her anger, disappointment, etc. quickly melted away and she encouraged her daughter to reunite with her estranged father. Just like that? She is welcomed back by family and friends without awkwardness, tough conversations, tears, confusion? I'm left wanting to know much more about the thoughts and feelings of the sisters during such a traumatic event of their older sister abandoning them, turning her back to them. HOW does that happen? Instead, we got a lot of the same reflections about their childhood stories. A bit too perfect of an ending. ...more",Notes are private!,1,4,1,"Jan 15, 2024","Feb 05, 2024","Jan 15, 2024",,Kindle Edition,view (with text),/book/show/61771675-hello-beautiful
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Talking Back, Talking Black: Truths About America's Lingua Franca","McWhorter, John",1942658206,9781942658207,1942658206,192        pp,4.16,"1,075","Dec 19, 2016","Jan 10, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Having read this book, I can imagine what it must be like to experience Professor McWhorter's study on American linguistic history in person. In it, hHaving read this book, I can imagine what it must be like to experience Professor McWhorter's study on American linguistic history in person. In it, he challenges the reader to consider perceived legitimacy of languages. In his words, ""English hasn't existed long enough to diverge into dozens of starkly distinct dialects as it has in Great Britain. Black English is America's only English dialect that combines being strikingly unlike standard English, centuries old, embraced by an ever wider spectrum of people, and represented in an ever-growing literature."" Using examples like Scots grammar that is quite different from English grammar and that many would consider a different dialect of English, or ""Kiezdeutsch"" speakers in Germany who are capable of speaking standard German ""when they have to"". McWhorter touches on many topics in this compact book, including code switching, Ebonics, languages around the world, minstrel speech in America, the ""N word"", ""blaccent"", Harlem Renaissance and so much more. In my opinion, he convincingly explains the nuances and complexities of Black English as a legitimate speech variety and its cultural importance. ...more",Notes are private!,0,1,1,"Jan 15, 2024","Mar 17, 2024","Jan 14, 2024",,Hardcover,view (with text),/book/show/29633629-talking-back-talking-black
