,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Jason's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Babylon's Ashes        (The Expanse, #6)","Corey, James S.A.*",0356504263,9780356504261,0356504263,532        pp,4.25,"81,535","Dec 06, 2016","Dec 06, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 14, 2024",not set,"Feb 14, 2024",,Hardcover,view,/book/show/25877663-babylon-s-ashes
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hollow Ones,"Toro, Guillermo del",1538761742,9781538761748,1538761742,326        pp,3.69,"7,627","Aug 04, 2020","Aug 04, 2020",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A truly unremarkable book. I wish I could say I enjoyed it more.,Notes are private!,0,0,1,"Feb 10, 2024","Feb 14, 2024","Feb 10, 2024",,Hardcover,view (with text),/book/show/52594581-the-hollow-ones
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wind Through the Keyhole        (The Dark Tower, #4.5)","King, Stephen*",,,,322        pp,4.14,"83,517","Feb 21, 2012","Apr 24, 2012",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Stephen King is one perverted, bent up, sideways personage. I love some of his books and I loathe some of his books. The Dark Tower novels fall somewhStephen King is one perverted, bent up, sideways personage. I love some of his books and I loathe some of his books. The Dark Tower novels fall somewhere in between. He made up all this unbelievably cool shit in these books, and he leaves 90% of unexplored or unexplained. Directive 19? Northern Positronics? All the cool artifacts the characters come across. The cool old facilities. He drops a little hint about something amazing (Daria) then proceeds to write 5000 pages of boring. These books could have been great. But they kind of suck. At least in my opinion they do. ...more",Notes are private!,0,0,1,"Jan 15, 2024","Jan 27, 2024","Jan 15, 2024",,Kindle Edition,view (with text),/book/show/12341557-the-wind-through-the-keyhole
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Labyrinth of the Spirits        (The Cemetery of Forgotten Books #4),"Ruiz Zafón, Carlos",1443457132,9781443457132,,816        pp,4.53,"52,876","Nov 17, 2016","Sep 18, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"An odd end to the series. And a peal of tragic thunder must reverberate across the clouded night sky. The Maestro has passed. I can't even hope to expAn odd end to the series. And a peal of tragic thunder must reverberate across the clouded night sky. The Maestro has passed. I can't even hope to express the despair his passing produces in my soul. I loved his books, his music. And to think there won't be anymore. A powerful book. And one I'll need to read again. ...more",Notes are private!,0,0,1,not set,not set,"Jan 03, 2024",,Audiobook,view (with text),/book/show/37954156-the-labyrinth-of-the-spirits
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bee Sting,"Murray, Paul",0374600309,9780374600303,0374600309,656        pp,4.01,"32,093","Jun 08, 2023","Aug 15, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Hardcover,view,/book/show/62039166-the-bee-sting
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fairy Tale,"King, Stephen*",1668002175,9781668002179,1668002175,608        pp,4.12,"233,880","Sep 06, 2022","Sep 06, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book is confusing. Not in terms of the content, but in terms of it's ontology. It's existence. It's actually being be a book. That exists... I woThis book is confusing. Not in terms of the content, but in terms of it's ontology. It's existence. It's actually being be a book. That exists... I would swear an amateur writer wrote this and King threw his name on it. Nothing about this book resembles King's writing. His strengths are clear. His characters live and breathe. Consider It, The Stand, Insomnia, recent works like The Institute, all have characters that are as real as you or me. King is excellent at that. That's not here. Charlie is flat. Bowditch is flat. The father? He's half-dimensional. And nothing really happens until 250 pages in. In all that unreal estate King couldn't manage to develop a good set of characters? Not a terrible book. But neither is it good. I find myself saying this a lot lately.......more",Notes are private!,0,0,1,"Jan 02, 2024","Jan 15, 2024","Jan 02, 2024",,Hardcover,view (with text),/book/show/60177373-fairy-tale
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Institute,"King, Stephen*",,,,561        pp,4.20,"270,865","Sep 10, 2019","Sep 10, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/43798285-the-institute
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dido, Queen of Carthage: A Tragedy","Marlowe, Christopher",1407675796,9781407675794,1407675796,79        pp,3.47,712,1590,"Jan 10, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 07, 2023","Dec 08, 2023","Dec 07, 2023",,Mass Market Paperback,view,/book/show/39986092-dido-queen-of-carthage
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maxwell's Demon,"Hall, Steven*",0802149219,9780802149213,0802149219,352        pp,3.77,"1,208","Feb 04, 2021","May 03, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Finally getting to this. I'm a little nervous, being an avid fan of The Raw Shark Texts. The thing that disappointed me a little was, when I picked itFinally getting to this. I'm a little nervous, being an avid fan of The Raw Shark Texts. The thing that disappointed me a little was, when I picked it up, it's short.... with wide margins.... and large type.... BOO. Hall worked on this for how long?.... (...Insert Witcher grumble here...) BUT.....I loved The Raw Shark Texts. It's one of the top ten novels of all time in my estimation. So I am not going to do more than utter a second mild Witcher grumble and open the book.Pg. 80. Oh boy.... it may well be as I feared. When it takes a writer 14 years to bring a book to the market, that's almost always a very bad sign....The premise is good. I like the idea so far... But the idea would take up 5 to 10 pages... Maybe... The rest of the text is what?... Science paraphrase? Dreary is what it is. So far this book is 5% interesting and fun, and 95% dreary. And what's with these typographical leaf footnotes? Not seeing the point of those at all. We'll see how it goes from here.Wow....Perhaps I'm missing the point...I have no idea at all what I just read. Entropy as your central metaphor?!.... Really?!.... This book is just a freaking mess as far as I can tell. What's it even about? I'm just slogging through it at this point, hoping the entropy will at least lead to a minimal level of narrative coherence. This book is aggressive in its manic fury to make no sense. Perhaps I'm missing the point. 14 years? Yikes man....There are no characters really. The people occupying the story just seem to exist merely to transmit some lithomancy ridden eschatological framework regarding the bible?... or something?... The story itself is not a narrative in the standard sense, in that connected sequences follow one another to build significance and meaning. Sequences follow one another, but they they don't seem to be connected. It all just comes off as a bewildering pile of disorganized nonsense. Again, maybe I missed it, but there was literally nothing about this book that I found intelligible. ...more",Notes are private!,0,1,1,"Dec 06, 2023","Dec 10, 2023","Dec 06, 2023",,Paperback,view (with text),/book/show/59577163-maxwell-s-demon
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jade Visions: The Life and Music of Scott LaFaro,"LaFaro-Fernandez, Helene",1574412736,9781574412734,1574412736,352        pp,4.19,42,2009,"Sep 01, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 01, 2023",,Hardcover,view,/book/show/6716491-jade-visions
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Nemesis Games        (The Expanse, #5)","Corey, James S.A.*",,,B00O7X626W,536        pp,4.44,"96,085","Jun 02, 2015","Jun 02, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"All of these books are great. Beyond great. As good as this type of story can get. But FUCK ME is this a relentlessly bleak fucking book!!!...... GrimAll of these books are great. Beyond great. As good as this type of story can get. But FUCK ME is this a relentlessly bleak fucking book!!!...... Grim does not begin to cover it. I do have a few problems. How the fuck did a handful of half-wits have the resources, the intelligence (both in terms of access to information and cognitive capacity), and the manpower to not only perform the most horrific act in the history of humanity, but to also simultaneously conduct surgical military ops across the entire solar system. So far, the Corey matrix has been nearly infallible in generating plausible authenticity. This is the first time in the series I've felt its lack. If this series teaches us one thing it's that Humanity will eventually destroy itself and whatever else it can take with it, and more tragically, it will ultimately be accomplished by half-wits. Dullards too dense to see past hate and resentment.It's a great book. The Corey organism deserves more recognition than I think it's received. But goddammit it's a bit wearisome to plunge forward through a rolling series of increasingly atrocious calamities.Update after finishing:They subtly addressed how the half-wits accomplished miraculous feats. It seems the next book will be more forthcoming regarding the nascence of the grand conflagration. But in the end, another jaw dropping wonder of a book. Just amazing on every freaking level. When larger narratives inevitably split up the band to give them some solo adventures, these are often the bits in the story people find the least captivating. No to here. Even the most superfluous of the adventures, that of Mongo and Peaches, which had little to no impact on the larger narrative of even this book, was a page turning joy to read. The next one is in the mail and i can't wait to read it. ...more",Notes are private!,0,0,1,Dec 2023,"Dec 06, 2023","Dec 01, 2023",,Kindle Edition,view (with text),/book/show/22886612-nemesis-games
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Poppy War        (The Poppy War, #1)","Kuang, R.F.*",0062662597,9780062662590,,545        pp,4.17,"260,124","May 01, 2018","May 01, 2018",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I may have to take a very strident step back away from randomly selecting books off the shelves for awhile. This is the 5th or 6th book I've read thatI may have to take a very strident step back away from randomly selecting books off the shelves for awhile. This is the 5th or 6th book I've read that was just demonstrably, objectively, not a good book. Firstly, I've read this story at least 100 times. It's hopelessly derivative of all the standard fantasy fictional tropes; second, the characters are nearly completely flat, third, the dialogue is ridiculous, and lastly, the plots are juvenile. This book is not terrible, but it's not good either. It's just not. And if you think it is a good book, I do not think your wrong necessarily, you are just in a different relationship with books than I am. I could get into the actual content of the story (the drug oriented magical system is very off putting given our Opioid problems) but there's little point in that. The book fails in larger fundamentals long before it gets to the content. I'm not sure what to do at this point. I feel like I'm out of step with the Science Fiction/Fantasy community. This book was glorified in the  ecosystem with high praise. I don't understand that. Compare this book to something like N. K. Jemisin's ""The Fifth Season"" or Corey's ""Leviathan Wakes"" or Dan Simmons' ""Carrion Comfort"", you will readily see the point I'm making. I guess it's really on me. I'm picking up these books, Leigh Bardugo's ""The Ninth Gate"", Kingfisher's ""The Hollow Places"", Michaelides' ""The Silent Patient"", M. L. Rios's ""When We Were Villians"", and thinking they are books for mature readers. They are not. Mature readers will have seen a good deal of what these books have to offer again and again, and will not be moved by the varying artifices as constructed. For these long years I have made the habit of picking books up off the shelves at random based on nothing but the whim of the moment, and for many years was richly rewarded for doing so. Either the shelves have changed, or I have. Maybe both....more",Notes are private!,0,1,1,"Nov 28, 2023",Dec 2023,"Nov 28, 2023",,ebook,view (with text),/book/show/35068705-the-poppy-war
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wuthering Heights: A Norton Critical Edition,"Brontë, Emily",0393284999,9780393284997,0393284999,472        pp,3.89,"1,805,430",Dec 1847,"Jan 30, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 06, 2023","Nov 28, 2023","Oct 06, 2023",,Paperback,view,/book/show/41753985-wuthering-heights
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Brontë Family, Vol. 2 of 2 with special reference to Patrick Branwell Brontë","Leyland, Francis A.",,,B006FL0PAI,214        pp,3.80,5,"Feb 28, 2010","Nov 27, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Oct 06, 2023","Oct 06, 2023",,Kindle Edition,view,/book/show/20438311-the-bront-family-vol-2-of-2-with-special-reference-to-patrick-branwel
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Brontë Family, Vol. 1 of 2 with special reference to Patrick Branwell Brontë","Leyland, Francis A.",,,B006FL139U,220        pp,3.58,12,"Feb 10, 2010","Nov 27, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Oct 06, 2023","Oct 06, 2023",,Kindle Edition,view,/book/show/20438312-the-bront-family-vol-1-of-2-with-special-reference-to-patrick-branwel
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Life of Charlotte Brontë,"Gaskell, Elizabeth",0192838059,9780192838056,0192838059,587        pp,3.84,"8,663",1857,"Jun 20, 2002",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Oct 06, 2023","Oct 06, 2023",,Paperback,view,/book/show/31171.The_Life_of_Charlotte_Bront_
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secret History of Jane Eyre: How Charlotte Brontë Wrote Her Masterpiece,"Pfordresher, John",0393248879,9780393248876,0393248879,256        pp,3.33,353,"Jun 27, 2017","Jun 27, 2017",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Read anything written about Charlotte Bronte. Then read this introduction. You'll quickly realize you're dealing with a pure Bunyan. An asymmetrical dRead anything written about Charlotte Bronte. Then read this introduction. You'll quickly realize you're dealing with a pure Bunyan. An asymmetrical donut. An absolute blufharden-ghemeisner. Poorly researched, poorly reasoned, hastily scribed blufharden-ness throughout. Although it is worth reading, if only to sharpen one's acumen on the evaluation of soft versus hard scholarship. Otherwise it's Buttered Sausage; where's it come from; what it does; why is it doing what it's doing; get it out of my face... ...more",Notes are private!,0,0,1,not set,"Oct 06, 2023","Oct 06, 2023",,Hardcover,view (with text),/book/show/32191679-the-secret-history-of-jane-eyre
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Patrick Brontë: Father of Genius,"Green, Dudley",1845886259,9781845886257,1845886259,284        pp,4.42,19,"Apr 01, 2008","Mar 01, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Oct 06, 2023","Oct 06, 2023",,Hardcover,view,/book/show/3503736-patrick-bront
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Mysterious Affair at Styles        (Hercule Poirot, #1)","Christie, Agatha",1734452595,9781734452594,1734452595,174        pp,4.00,"423,414","Jan 01, 1920","Jan 02, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 23, 2023","Sep 29, 2023","Sep 23, 2023",,Paperback,view,/book/show/52843028-the-mysterious-affair-at-styles
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Babel,"Kuang, R.F.*",0063021420,9780063021426,0063021420,544        pp,4.20,"218,516","Aug 23, 2022","Aug 23, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 20, 2023",,Hardcover,view,/book/show/57945316-babel
