,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,luce (cry baby)'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Afterlife of Mal Caldera,"Perez, Nadi Reed*",1803367776,9781803367774,B0C5279FYD,464        pp,5.00,10,"Jun 11, 2024","Jun 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,ebook,view,/book/show/152747158-the-afterlife-of-mal-caldera
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Light Between Us,"Chiew, Elaine*",1915584671,9781915584670,1915584671,336        pp,4.17,6,unknown,"Sep 10, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Paperback,view,/book/show/204929184-the-light-between-us
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blood Over Bright Haven,"Wang, M.L.*",,,B0B5KLVCHZ,527        pp,4.47,"4,113","Jul 25, 2023","Jul 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Kindle Edition,view,/book/show/57915993-blood-over-bright-haven
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No Place to Bury the Dead,"Sainz Borgo, Karina*",0063213877,9780063213876,0063213877,256        pp,3.65,558,"Mar 04, 2021","Dec 10, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Hardcover,view,/book/show/199793536-no-place-to-bury-the-dead
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Strange Beasts,"Morris, Susan J.*",1959411640,9781959411642,1959411640,352        pp,4.84,19,unknown,"Oct 15, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Paperback,view,/book/show/206777707-strange-beasts
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nightwood,"Barnes, Djuna",057123528X,9780571235285,057123528X,153        pp,3.61,"12,856",1936,"Apr 05, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Paperback,view,/book/show/894659.Nightwood
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Helga,"Yu, Catherine*",,9798890039514,B0CDYMSMBN,352        pp,5.00,4,"Aug 20, 2024","Aug 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Hardcover,view,/book/show/195861997-helga
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Season of the Swamp,"Herrera, Yuri",164445307X,9781644453070,164445307X,160        pp,3.62,96,unknown,"Oct 01, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Hardcover,view,/book/show/205363990-season-of-the-swamp
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Henry Henry,"Bratton, Allen",196188402X,9781961884021,196188402X,336        pp,3.57,70,"Apr 16, 2024","Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,very mixed feelings about this one... to come.,Notes are private!,0,2,1,"Apr 03, 2024","Apr 05, 2024","Mar 31, 2024",,Hardcover,view (with text),/book/show/182108722-henry-henry
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Us Fools,"Lange, Nora",1953387519,9781953387516,1953387519,340        pp,5.00,1,unknown,"Sep 17, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Paperback,view,/book/show/206550501-us-fools
