,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Anthony's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bonfire of the Vanities,"Wolfe, Tom",0330491938,9780330491938,0330491938,709        pp,3.90,"80,877","Nov 01, 1987","Aug 20, 2002",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Feb 08, 2024","Feb 29, 2024","Feb 08, 2024",,Paperback,view,/book/show/410213.The_Bonfire_of_the_Vanities
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Devil on the Cross,Ngũgĩ wa Thiong'o,0143107364,9780143107361,0143107364,291        pp,3.92,"1,824",1980,"Apr 11, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 14, 2023",,Paperback,view,/book/show/18693722-devil-on-the-cross
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Man in Full,"Wolfe, Tom",0553381334,9780553381337,0553381334,704        pp,3.87,"18,713","Nov 01, 1998","Jan 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 13, 2023",,Paperback,view,/book/show/86172.A_Man_in_Full
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dottie,"Gurnah, Abdulrazak",152665346X,9781526653468,152665346X,416        pp,4.01,218,1990,"Mar 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 13, 2023",,Paperback,view,/book/show/59559789-dottie
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Orphan Master's Son,"Johnson, Adam",0812982622,9780812982626,0812982622,443        pp,4.06,"100,176","Jan 10, 2012","May 30, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 13, 2023",,Paperback,view,/book/show/44631668-the-orphan-master-s-son
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Seven Pillars of Wisdom,"Lawrence, T.E.",0141182768,9780141182766,0141182768,704        pp,3.90,"11,071",1926,"Mar 28, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 13, 2023",,Paperback,view,/book/show/57937.Seven_Pillars_of_Wisdom
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tomorrow, and Tomorrow, and Tomorrow","Zevin, Gabrielle*",1784744654,9781784744656,1784744654,401        pp,4.18,"844,883","Jul 05, 2022","Jul 19, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 13, 2023",,Paperback,view,/book/show/59350163-tomorrow-and-tomorrow-and-tomorrow
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cutting for Stone,"Verghese, Abraham*",,,,670        pp,4.32,"386,965",2009,Jan 2010,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 13, 2023",,Paperback,view,/book/show/6930014-cutting-for-stone
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Song of Solomon,"Morrison, Toni",1784876453,9781784876456,1784876453,448        pp,4.14,"112,910","Aug 12, 1977","Feb 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 13, 2023",,Paperback,view,/book/show/49921028-song-of-solomon
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When We Cease to Understand the World,"Labatut, Benjamín",,,,192        pp,4.14,"36,000",2019,"Sep 14, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 25, 2023",,Kindle Edition,view,/book/show/57141034-when-we-cease-to-understand-the-world
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Collector,"Fowles, John",,,,283        pp,3.98,"80,005",May 1963,"Oct 21, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 25, 2023",,Paperback,view,/book/show/243705.The_Collector
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Getting Lost,"Ernaux, Annie*",1644212196,9781644212196,1644212196,240        pp,3.45,"4,716","Oct 17, 2001","Sep 06, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 25, 2023",,Paperback,view,/book/show/60843483-getting-lost
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Years,"Ernaux, Annie*",,,,256        pp,4.18,"29,440","Feb 07, 2008","Nov 21, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Apr 26, 2023",May 2023,"Apr 25, 2023",,Paperback,view,/book/show/34355387-the-years
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hotel du Lac,"Brookner, Anita",,9780140147476,0140147470,184        pp,3.60,"22,126","Sep 06, 1984","Feb 24, 1993",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 25, 2023",,Paperback,view,/book/show/880694.Hotel_du_Lac
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Milkman,"Burns, Anna",,,,352        pp,3.54,"61,595","May 15, 2018","Sep 20, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,1,4,1,"May 29, 2023","Jan 26, 2024","Apr 08, 2023",,Paperback,view,/book/show/41086837-milkman
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Moviegoer,"Percy, Walker",0374214522,9780374214524,0374214522,272        pp,3.65,"28,752",1960,"May 08, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Apr 06, 2023","Apr 08, 2023","Apr 04, 2023",,Paperback,view,/book/show/36480788-the-moviegoer
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Things Like These,"Keegan, Claire",,,B08W8TWWFQ,128        pp,4.19,"153,296","Nov 05, 2021","Oct 19, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Mar 31, 2023","Mar 31, 2023","Mar 31, 2023",,Kindle Edition,view,/book/show/58639322-small-things-like-these
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Patriotism,"Mishima, Yukio",0811213129,9780811213127,0811213129,57        pp,4.10,"3,992","Jan 30, 1961",1995,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2023",,Paperback,view,/book/show/62795.Patriotism
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Simple Passion,"Ernaux, Annie*",1913097552,9781913097554,1913097552,80        pp,3.93,"30,116",1991,"Mar 10, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Mar 25, 2023","Mar 27, 2023","Mar 25, 2023",,Paperback,view,/book/show/57371655-simple-passion
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Too Loud a Solitude,"Hrabal, Bohumil",0156904586,9780156904582,0156904586,102        pp,3.99,"22,696",1976,"Apr 27, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 06, 2023",,Paperback,view,/book/show/868410.Too_Loud_a_Solitude
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Seven Moons of Maali Almeida,"Karunatilaka, Shehan*",0143459678,9780143459675,0143459678,386        pp,3.93,"39,483","Aug 04, 2022","Sep 28, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2023",,Paperback,view,/book/show/62426440-the-seven-moons-of-maali-almeida
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Second Place,"Cusk, Rachel",0571366694,9780571366699,0571366694,207        pp,3.69,"22,124",2021,"May 04, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 24, 2023","Mar 25, 2023","Feb 28, 2023",,Paperback,view,/book/show/57942474-second-place
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sentimental Education,"Flaubert, Gustave",0140447970,9780140447972,B00A2KEWI4,460        pp,3.81,"22,278","Apr 15, 1869","Feb 05, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 02, 2023",not set,"Feb 26, 2023",,Paperback,view,/book/show/2183.Sentimental_Education
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Solenoid,"Cărtărescu, Mircea",1646052021,9781646052028,1646052021,639        pp,4.29,"3,570",Nov 2015,"Oct 25, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 23, 2023",,Paperback,view,/book/show/60582780-solenoid
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Gilead        (Gilead, #1)","Robinson, Marilynne",031242440X,9780312424404,031242440X,247        pp,3.85,"110,296","Oct 28, 2004","Jan 10, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 13, 2023",not set,"Feb 18, 2023",,Paperback,view,/book/show/68210.Gilead
