,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,BAM who is Beth Anne's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Rogue Protocol        (The Murderbot Diaries, #3)","Wells, Martha*",1250191785,9781250191786,1250191785,159        pp,4.26,"111,683","Aug 07, 2018","Aug 07, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 10, 2024",not set,"Apr 10, 2024",,Hardcover,view,/book/show/35519101-rogue-protocol
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Doppelganger: A Trip into the Mirror World,"Klein, Naomi",0374610320,9780374610326,0374610320,416        pp,4.26,"10,465","Sep 12, 2023","Sep 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 10, 2024",not set,"Apr 10, 2024",,Hardcover,view,/book/show/138505710-doppelganger
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Artificial Condition        (The Murderbot Diaries, #2)","Wells, Martha*",,,,158        pp,4.27,"139,184","May 08, 2018","May 08, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Murderbot is quickly becoming my favorite sci fi hero. He (?) is funny and sarcastic and I love his complicated relationship with ART. Can’t wait to cMurderbot is quickly becoming my favorite sci fi hero. He (?) is funny and sarcastic and I love his complicated relationship with ART. Can’t wait to continue this series and don’t know how I haven’t read this before...more,Notes are private!,0,1,1,"Apr 07, 2024","Apr 09, 2024","Apr 07, 2024",,Hardcover,view (with text),/book/show/36223860-artificial-condition
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"All Systems Red        (The Murderbot Diaries, #1)","Wells, Martha*",,,,144        pp,4.15,"235,986","May 02, 2017","May 02, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,The most fun I’ve ever spent with a Murderbot.,Notes are private!,0,0,1,"Apr 05, 2024","Apr 07, 2024","Apr 07, 2024",,ebook,view (with text),/book/show/32758901-all-systems-red
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Heart Is a Chainsaw        (Indian Lake #1),"Jones, Stephen Graham*",1982137630,9781982137632,1982137630,405        pp,3.55,"36,831","Aug 31, 2021","Aug 31, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 28, 2024","Apr 04, 2024","Mar 28, 2024",,Hardcover,view,/book/show/55711617-my-heart-is-a-chainsaw
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bride,"Hazelwood, Ali*",,,B0C9GQV1TT,410        pp,4.11,"180,782","Feb 06, 2024","Feb 06, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"So I don’t really read romance novels but this book was all over booktok and instagram it kept getting served to me so I figured I’d give it a shot ItSo I don’t really read romance novels but this book was all over booktok and instagram it kept getting served to me so I figured I’d give it a shot It was fine. Honestly it was a pretty basic slow burn enemies to lovers plot. I more enjoyed the fantasy storyline, which I see others who read Hazelwood seemed to be bored by. I thought Misery was a strong female lead, she wasn’t whiny or piney which I think I usually expect from romance which is why I don’t read them. So I guess that’s a plus. The spicy parts weren’t all that weird. But maybe I’m just more “alternative” than the rest of you so it didn’t make me clutch my pearls or anything. Overall this was a forgettable book, but it wasn’t horrible. ...more",Notes are private!,0,1,1,"Mar 25, 2024","Mar 28, 2024","Mar 25, 2024",,Kindle Edition,view (with text),/book/show/181344829-bride
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House Is on Fire,"Beanland, Rachel*",1982186151,9781982186159,1982186151,384        pp,4.11,"15,504","Apr 04, 2023","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Paperback,view,/book/show/176443448-the-house-is-on-fire
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Knife: Meditations After an Attempted Murder,"Rushdie, Salman",0593730240,9780593730249,0593730240,224        pp,4.50,12,"Apr 16, 2024","Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/199344846-knife
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bright Sword,"Grossman, Lev*",0735224048,9780735224049,0735224048,688        pp,4.49,57,"Jul 16, 2024","Jul 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/201750794-the-bright-sword
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Home Is Where the Bodies Are,"Rose, Jeneva*",,9798212182843,B0CCK3XKYK,270        pp,4.09,406,"Apr 30, 2024","Apr 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/194020321-home-is-where-the-bodies-are
