,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Gillian's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Radicalizing Her: Why Women Choose Violence,"Gowrinathan, Nimmi",0807013552,9780807013557,0807013552,152        pp,3.67,164,"Apr 13, 2021","Apr 13, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2024,"Apr 01, 2024",,Hardcover,view,/book/show/54081070-radicalizing-her
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Demon Copperhead,"Kingsolver, Barbara",,,,560        pp,4.51,"397,878","Oct 18, 2022","Oct 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Feb 26, 2024","Feb 27, 2024",,Hardcover,view,/book/show/60194162-demon-copperhead
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Pisces,"Broder, Melissa*",1524761559,9781524761554,1524761559,270        pp,3.30,"29,765","May 01, 2018","May 01, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Feb 10, 2024","Feb 10, 2024",,Hardcover,view,/book/show/32871394-the-pisces
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Seas,"Hunt, Samantha",0312425236,9780312425234,0312425236,193        pp,4.03,"7,304","Nov 01, 2004","Dec 27, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2024",,Paperback,view,/book/show/332768.The_Seas
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Essential Dykes To Watch Out For,"Bechdel, Alison",0618968806,9780618968800,0618968806,392        pp,4.43,"12,200","Nov 12, 2008","Nov 12, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 02, 2024","Jan 21, 2024","Jan 02, 2024",,Hardcover,view,/book/show/3189884-the-essential-dykes-to-watch-out-for
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Guest,"Cline, Emma",0812998626,9780812998627,,304        pp,3.32,"64,910","May 16, 2023","May 16, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 02, 2024","Jan 15, 2024","Jan 02, 2024",,Hardcover,view,/book/show/61986136-the-guest
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cherry,"Walker, Nico",178733094X,9781787330948,178733094X,336        pp,3.49,"18,999","Aug 14, 2018","Feb 28, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Dec 28, 2023","Dec 28, 2023",,Hardcover,view,/book/show/36521370-cherry
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Philosophical Trends in the Feminist Movement,"Ghandy, Anuradha",1539419975,9781539419976,1539419975,112        pp,4.43,498,"Oct 16, 2016","Oct 18, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Dec 17, 2023","Dec 28, 2023",,Paperback,view,/book/show/33128290-philosophical-trends-in-the-feminist-movement
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mall Goth,"Leth, Kate",1534476946,9781534476943,B0BTZ8ZBZP,256        pp,3.93,"1,409","Sep 26, 2023","Sep 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Nov 15, 2023","Nov 15, 2023",,Paperback,view,/book/show/101127469-mall-goth
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"How to Build a Girl        (How to Build a Girl, #1)","Moran, Caitlin",,,,368        pp,3.72,"35,650","Sep 23, 2014","Sep 23, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Nov 15, 2023","Nov 15, 2023",,ebook,view,/book/show/20525628-how-to-build-a-girl
