,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Patricia's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Haunted Pensacola,"Brown, Alan",1596293012,9781596293014,1596293012,128        pp,3.52,46,"Oct 01, 2010","Oct 01, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Paperback,view,/book/show/11199590-haunted-pensacola
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Ritual Effect: From Habit to Ritual, Harness the Surprising Power of Everyday Actions","Norton, Michael*",1982153024,9781982153021,1982153024,288        pp,4.50,28,unknown,"Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Hardcover,view,/book/show/176443657-the-ritual-effect
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Cold Moon        (Lincoln Rhyme, #7)","Deaver, Jeffery*",0743296788,9780743296786,0743296788,416        pp,4.06,"19,857","Jun 26, 2006","Jun 26, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Paperback,view,/book/show/93808.The_Cold_Moon
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Learned by Heart,"Donoghue, Emma*",0316564435,9780316564434,0316564435,336        pp,3.51,"5,541","Aug 29, 2023","Aug 29, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Hardcover,view,/book/show/62874041-learned-by-heart
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Citadel,"Cronin, A.J.",,,B07H193PS6,372        pp,4.23,"9,210",1937,"Apr 15, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Kindle Edition,view,/book/show/41644889-the-citadel
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Great Divide,"Henríquez, Cristina*",0063291320,9780063291324,0063291320,321        pp,3.76,"3,436","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Hardcover,view,/book/show/181110028-the-great-divide
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Framed: Astonishing True Stories of Wrongful Convictions,"Grisham, John*",0385550448,9780385550444,0385550448,352        pp,5.00,2,unknown,"Oct 08, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Hardcover,view,/book/show/209786389-framed
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Until August,"García Márquez, Gabriel",0593801997,9780593801994,0593801997,144        pp,3.78,"7,162","Mar 06, 2024","Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/199928404-until-august
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blindness,"Saramago, José",,,B003T0GBOM,349        pp,4.17,"289,724",1995,"Aug 23, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Kindle Edition,view,/book/show/40495148-blindness
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What Happens in Paradise        (Paradise #2),"Hilderbrand, Elin*",1473677475,9781473677470,1473677475,256        pp,4.03,"101,986","Oct 08, 2019","Oct 03, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 07, 2024",not set,"Apr 07, 2024",,Paperback,view,/book/show/50752766-what-happens-in-paradise
