,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Georgie-who-is-Sarah-Drew's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Amazing Alpha Tau Pledge Project        (Alpha Tau, #3)","Henry, Lisa*",,,B0CDRCCWKC,0        pp,5.00,2,"May 01, 2024","May 01, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Kindle Edition,view,/book/show/195724834-the-amazing-alpha-tau-pledge-project
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lights, Camera, Passion","Lucero, Isabel*",,,B0CJDN2LX8,410        pp,4.34,310,"Apr 08, 2024","Apr 08, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/201448382-lights-camera-passion
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wake-Up Call,"O'Leary, Beth*",1529418275,9781529418279,B0BL2ZYXCD,369        pp,3.59,"24,050","Sep 26, 2023","Sep 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/75561012-the-wake-up-call
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bastard and the Heir,"Finley, Eden*",,,B0CKBHQQVX,345        pp,4.07,"4,013","Jan 18, 2024","Jan 18, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/199475827-the-bastard-and-the-heir
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Just a Taste,"Prescott, Briar*",,,B0CW1HZQ2J,356        pp,4.32,253,"Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/209486368-just-a-taste
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dragon Waiting,"Ford, John M.",1473232813,9781473232815,B088PJPM3K,401        pp,3.78,"2,015",1983,"Oct 01, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/53710751-the-dragon-waiting
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Emperor and the Endless Palace,"Huang, Justinian*",0778305236,9780778305231,0778305236,312        pp,3.64,723,"Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Hardcover,view,/book/show/146145975-the-emperor-and-the-endless-palace
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Snails of Dun Nas,"Noone, K.L.",1646569210,9781646569212,B09KLG7MWL,53        pp,4.35,92,unknown,"Nov 06, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Kindle Edition,view,/book/show/59553938-the-snails-of-dun-nas
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sundown, Holiday, Beacon        (Extraordinary #1)","Noone, K.L.",1646560698,9781646560691,B07XFCQ9Z6,58        pp,4.35,43,unknown,"Sep 11, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Kindle Edition,view,/book/show/53094037-sundown-holiday-beacon
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Malum Discordiae        (Tennebrose, #1)","Drewek, Ashlyn*",1955211086,9781955211086,B09CNCL7MD,394        pp,4.16,"3,651","Mar 28, 2022",Feb 2022,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Kindle Edition,view,/book/show/60420033-malum-discordiae
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fox and the Dryad,"Graves, Kellen*",,9798985766271,B0BQ6D2L15,431        pp,4.30,792,"Feb 24, 2023","Feb 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Kindle Edition,view,/book/show/75356053-the-fox-and-the-dryad
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wolf in King's Clothing,"Foye, Parker*",,,B0BX4XRCJF,122        pp,3.38,40,"May 15, 2017","Feb 27, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Kindle Edition,view,/book/show/123126738-wolf-in-king-s-clothing
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Villain and the Geek        (The Wolf's Mate, #6)","Davis, L.C.*",,,B0CLGW8MNB,105        pp,3.94,"2,216","Nov 13, 2023","Nov 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Kindle Edition,view,/book/show/200341537-villain-and-the-geek
