,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Dennis's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Man Who Would Be King: The First American in Afghanistan,"Macintyre, Ben",0374201781,9780374201784,0374201781,351        pp,3.92,689,"Apr 04, 2004","Apr 21, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Hardcover,view,/book/show/1843777.The_Man_Who_Would_Be_King
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Summer Without Men,"Hustvedt, Siri",0312570600,9780312570606,0312570600,182        pp,3.45,"11,768",2011,"Apr 26, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Paperback,view,/book/show/10223697-the-summer-without-men
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ocean Sea,"Baricco, Alessandro",0375404236,9780375404238,0375404236,241        pp,4.09,"24,959",Mar 1993,"Feb 02, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Hardcover,view,/book/show/61265.Ocean_Sea
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Make Me        (Jack Reacher, #20)","Child, Lee*",0593073894,9780593073896,0593073894,432        pp,4.01,"75,281","Sep 08, 2015","Sep 08, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Paperback,view,/book/show/23664710-make-me
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Good German,"Kanon, Joseph*",0312982534,9780312982539,0312982534,533        pp,3.78,"6,790","Sep 30, 2001","Jan 01, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Perfect Paperback,view,/book/show/2958151-the-good-german
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Late Child,"McMurtry, Larry",0671568183,9780671568184,0671568183,480        pp,3.48,611,1995,"Nov 01, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Paperback,view,/book/show/2755451-the-late-child
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Death in Holy Orders        (Adam Dalgliesh, #11)","James, P.D.",0345446666,9780345446664,0345446666,448        pp,3.92,"16,760",2001,"Mar 26, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Mass Market Paperback,view,/book/show/3825.Death_in_Holy_Orders
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Night School        (Jack Reacher, #21)","Child, Lee*",0857502700,9780857502704,0857502700,460        pp,4.01,"70,520","Nov 07, 2016","Jan 01, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/31348279-night-school
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Night        (The Night Trilogy, #1)","Wiesel, Elie",0374500010,9780374500016,0374500010,120        pp,4.37,"1,244,666",1956,2006,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Apr 07, 2024","Apr 10, 2024","Mar 01, 2024",,Paperback,view,/book/show/48985689-night
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Negroes,"Hill, Lawrence",1443408980,9781443408981,1443408980,680        pp,4.46,"86,779","Jan 18, 2007","Sep 13, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2024",,Mass Market Paperback,view,/book/show/13480121-the-book-of-negroes
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Push,Sapphire*,0307474844,9780307474841,0307474844,192        pp,3.87,"54,900","Jun 11, 1996","Oct 20, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2024",,Paperback,view,/book/show/6931274-push
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lost Memory of Skin,"Banks, Russell",0062096737,9780062096739,,432        pp,3.60,"6,713","Sep 27, 2011","Sep 27, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 25, 2024",Mar 2024,"Feb 25, 2024",,ebook,view,/book/show/12443194-lost-memory-of-skin
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Tender Matador,"Lemebel, Pedro",0802141870,9780802141873,0802141870,176        pp,4.49,"11,151",2001,"Feb 10, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/638335.My_Tender_Matador
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Little Life,"Yanagihara, Hanya*",1447294831,9781447294832,1447294831,816        pp,4.34,"618,133","Mar 10, 2015","Mar 10, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,Paperback,view,/book/show/29408433-a-little-life
