,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Marcy's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lessons in Chemistry,"Garmus, Bonnie*",,,,390        pp,4.30,"1,230,418","Mar 31, 2022","Apr 05, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I am so late to read this book and it turns out that I loved it.,Notes are private!,0,5,1,not set,not set,"Apr 03, 2024",,Hardcover,view (with text),/book/show/58065033-lessons-in-chemistry
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bang-Bang Sisters,"Youers, Rio*",,,B0CLMG157F,unknown,4.77,13,"Jul 16, 2024",2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Audiobook,view,/book/show/61347991-the-bang-bang-sisters
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Love Letters to a Serial Killer,"Coryell, Tasha",0593640276,9780593640272,0593640276,320        pp,3.63,267,"Jun 25, 2024","Jun 25, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Hardcover,view,/book/show/199262999-love-letters-to-a-serial-killer
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Swanna in Love,"Belle, Jennifer",1636141455,9781636141459,1636141455,288        pp,3.79,276,"Jan 02, 2024","Jan 02, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Feb 08, 2024",,Hardcover,view,/book/show/125372136-swanna-in-love
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Margo's Got Money Troubles,"Thorpe, Rufi*",0063356589,9780063356580,0063356589,304        pp,4.34,372,"Jun 11, 2024","Jun 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 11, 2024",,Hardcover,view,/book/show/199534613-margo-s-got-money-troubles
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Postcard,"Berest, Anne",,9781609458386,,464        pp,4.38,"20,148","Aug 18, 2021","May 16, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It's books like this, I think, that can take a major event in history and make it feel real, personal, tragic, heart-breaking in a way that facts and It's books like this, I think, that can take a major event in history and make it feel real, personal, tragic, heart-breaking in a way that facts and numbers can't. The Postcard is riveting and sad and important. ...more",Notes are private!,1,9,1,not set,not set,"Dec 04, 2023",,Hardcover,view (with text),/book/show/63880836-the-postcard
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Real Americans,"Khong, Rachel*",0593537254,9780593537251,,416        pp,4.23,467,"Apr 30, 2024","Apr 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 15, 2023",,Hardcover,view,/book/show/62929342-real-americans
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Beyond That, the Sea","Spence-Ash, Laura*",1250854377,9781250854377,1250854377,351        pp,4.26,"33,354","Mar 21, 2023","Mar 21, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This novel felt old fashioned. I felt like I was reading an Ian McEwan novel, only it was written by a woman, an American. Though it was also set in EThis novel felt old fashioned. I felt like I was reading an Ian McEwan novel, only it was written by a woman, an American. Though it was also set in England. I loved the sentences and the characters. Bea. I was in her world when I was reading this book. ...more",Notes are private!,0,3,1,not set,not set,"Sep 12, 2023",,Hardcover,view (with text),/book/show/60784759-beyond-that-the-sea
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sanctuary,"Mendoza, Paola",1984815717,9781984815712,1984815717,311        pp,4.15,"3,554","Sep 01, 2020","Sep 01, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I think my daughter downloaded the audio book and then I ended up being the one listening to it. It made me cry in places. I did not know in the beginI think my daughter downloaded the audio book and then I ended up being the one listening to it. It made me cry in places. I did not know in the beginning that it was set in the future and was worried that immigrants were being made to put chips in their wrists and somehow I missed that. It did not seem possible, but I could also believe it, which is scary in itself. It's a wonderful book. ...more",Notes are private!,0,3,1,not set,not set,"Sep 06, 2023",,Hardcover,view (with text),/book/show/49032427-sanctuary
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Premonition,"Yoshimoto, Banana",1640093710,9781640093713,1640093710,144        pp,3.49,"5,277","Dec 15, 1988","Oct 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 05, 2023",,Hardcover,view,/book/show/90564433-the-premonition
