,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Vickey's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sell More Books Using Your Author Website: The Easiest Way to Brand, Build, Market, and Manage Your Authorship",Balas Radu*,,,B015Q9301K,202        pp,4.09,22,unknown,"Nov 07, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 14, 2016",,Kindle Edition,view,/book/show/27518744-sell-more-books-using-your-author-website
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Cold and Broken Hallelujah        (Long Beach Homicide, #3)","Dilts, Tyler*",1477874496,9781477874493,B00IMOUZCO,298        pp,3.75,"6,958","Sep 01, 2014","Sep 01, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Loved it. With the caveats that I don't usually read crime/police fiction, and that I read Robert Galbraith's (JK Rowling's) Cuckoo Calling just beforLoved it. With the caveats that I don't usually read crime/police fiction, and that I read Robert Galbraith's (JK Rowling's) Cuckoo Calling just before--and she is a hard act to follow--I was properly impressed. Dilts does not cuss as much as Rowling, btw. Not by a long shot.For those who live in or near Long Beach, CA, the added treat is that all the action is carefully mapped out for you. Almost to the point of being annoying; in fact, if I lived in Texas or Rhode Island I probably would have found the constant mentioning of streets a bit much. But I don't. I have lived in LB & am now close, so it was fun!Dilts has written three of these Long Beach mysteries. I assume they all feature the same cast so I will be reading the other books as well to catch up. (this was the most recent in the series, not the first. But the title caught me.)...more",Notes are private!,0,0,1,not set,"Dec 19, 2014","Dec 21, 2014",,Kindle Edition,view (with text),/book/show/22363240-a-cold-and-broken-hallelujah
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Dead in Their Vaulted Arches        (Flavia de Luce, #6)","Bradley, Alan*",0385344058,9780385344050,0385344058,310        pp,4.18,"31,271","Jan 14, 2014","Jan 14, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 25, 2014",,Hardcover,view,/book/show/17834904-the-dead-in-their-vaulted-arches
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Return of the King        (The Lord of the Rings, #3)","Tolkien, J.R.R.",,,,404        pp,4.56,"903,799","Oct 20, 1955",2003,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Great great great great great,Notes are private!,0,0,1,"Nov 25, 2014","Dec 05, 2014","Nov 25, 2014",,Mass Market Paperback,view (with text),/book/show/18512.The_Return_of_the_King
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kindred,"Butler, Octavia E.",0807083690,9780807083697,0807083690,288        pp,4.30,"217,843",Jun 1979,"Feb 01, 2004",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Amazing book. Stayed up till 1:30 to finish. Thrilling story, but through Dana's eyes we go deeper. What does it mean to belong, to accommodate, to suAmazing book. Stayed up till 1:30 to finish. Thrilling story, but through Dana's eyes we go deeper. What does it mean to belong, to accommodate, to survive. How much can you forgive? THe views of the 19th century are uncompromising: Whatever Dana is to them, she is not fully human. She is property. How she sees herself undergoes change and is completely believable. ...more",Notes are private!,0,0,1,"Nov 25, 2014","Nov 25, 2014","Nov 25, 2014",,Paperback,view (with text),/book/show/60931.Kindred
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Winter’s Tale,"Helprin, Mark",0156031191,9780156031196,0156031191,769        pp,3.51,"28,561","Sep 20, 1983","Jun 01, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Read this in the 1980s, and it's as wonderful as I remember. The language and imagery are rich, sometimes almost too rich, like eating too much ice crRead this in the 1980s, and it's as wonderful as I remember. The language and imagery are rich, sometimes almost too rich, like eating too much ice cream. Back in the 1980s, I was so wrapped up in the love affair of Peter Lake & Beverly that I found the middle section of the book less interesting. Not so now. Loved it all.The book is a journey. It's big, and it takes time. There is no neat little explanation tying it all together at the end. But the entire story is magical....more",Notes are private!,0,1,1,"Sep 10, 2014","Sep 24, 2014","Sep 10, 2014",,Paperback,view (with text),/book/show/12967.Winter_s_Tale
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mr. Ballpoint,"Jones, Gerald Everett*",,,0985622741,272        pp,3.87,15,"Jul 18, 2014","Sep 06, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 01, 2014",,Hardcover,view,/book/show/21948725-mr-ballpoint
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Two Towers        (The Lord of the Rings, #2)","Tolkien, J.R.R.",0618346260,9780618346264,0618346260,322        pp,4.48,"968,792","Nov 11, 1954","Jan 01, 1993",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Sep 2014,"Oct 25, 2014","Sep 01, 2014",,Paperback,view,/book/show/15241.The_Two_Towers
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Soil Will Save Us: How Scientists, Farmers, and Foodies Are Healing the Soil to Save the Planet","Ohlson, Kristin*",1609615549,9781609615543,1609615549,242        pp,4.15,"1,320","Mar 18, 2014","Mar 18, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Only book about an environmental issue that has not plunged me into depression! Yay!This book is full of hope. Well, it's full of science too, though Only book about an environmental issue that has not plunged me into depression! Yay!This book is full of hope. Well, it's full of science too, though only one chapter gave me any real difficulty (2). But mostly hope, because soil, it turns out, is an incredibly resilient cluster of thingies.Ohlson discusses the benefits of certain types of agriculture, like no-till, and how that can turn farms around. Her three or four main changes result, according to the farmers and experts she talks to, in more abundant crop yields and eliminate the need for expensive fertilizers and pesticides--a huge chunk of farming expense.Loved learning all of this, though I am no scientist. Enjoyed the stories & am recommending to everyone....more",Notes are private!,0,0,1,not set,not set,"Aug 10, 2014",,Hardcover,view (with text),/book/show/18050026-the-soil-will-save-us
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ocean at the End of the Lane,"Gaiman, Neil*",0062255657,9780062255655,0062255657,181        pp,4.02,"618,043","Jun 18, 2013","Jun 18, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Loved it. This is a one-day read for most people.After a funeral, a man drives to his childhood home-which is gone, so he finds himself driving to theLoved it. This is a one-day read for most people.After a funeral, a man drives to his childhood home-which is gone, so he finds himself driving to the old farmhouse where an odd friend lived. There, he is plunged into a memory which comprises the rest of the book.Almost everything else, after that intro, is seen through a 7-year-old's eyes. It's magical and frightening. enchanting and terrifying the child & reader at once. There's just enough folk myth images to allow you to draw conclusions, and just enough confirmation from the characters that you're on the right track.In a perfect world, I would have liked a little more from the grown up at the end. We get the bare bones of his life, but not an overall ""my life is something to be proud of"" or ""I've found some happiness."" But that is left open and I guess I can fill in the blanks myself if I need to.A great way to spend a summer afternoon, all in all....more",Notes are private!,0,0,1,not set,not set,"Aug 10, 2014",,Hardcover,view (with text),/book/show/15783514-the-ocean-at-the-end-of-the-lane
